"F1-10"	"F1-11"	"F1-12"	"F1-13"	"F1-14"	"F1-15"	"F1-16"	"F1-17"	"F1-18"	"F1-19"	"F1-20"	"F1-21"	"F1-22"	"F1-7"	"F1-8"	"F1-9"	"F3-10"	"F3-11"	"F3-12"	"F3-7"	"F3-8"	"F3-9"
"Blautia hansenii"	3.39788016782437	3.08888169380369	3.55285757007766	3.39338014616367	3.00304863816107	3.32696408057472	3.51828222942806	3.43467704911355	3.42006030887358	2.80170964965219	3.35065595574078	3.36469689269918	3.37986762993091	3.04933166955936	3.20697763374373	2.61678075339425	3.41730928581519	3.13385597435447	3.60800015851029	3.65302624948233	3.38774152760326	3.59212791014477
"Blautia liquoris"	3.25800392561701	2.73082603930291	3.35080265562941	3.17966790831465	2.89616639127439	3.12139647357262	3.31439542084159	3.2331902600589	3.36473761280153	2.64278983534801	3.22930998509151	3.23268588824263	3.22272429484901	2.64954322844783	2.84846148645388	2.57489681034138	3.27361254187942	2.8711505159617	3.32210210631823	3.63603597533047	3.21660755103386	3.27069806568646
"Lachnoclostridium sp. YL32"	4.64180216579556	3.55818289633172	4.91468876599512	4.5198332980773	4.04731092420912	4.73120077683655	5.08023561756115	4.90875800287757	5.11989931982172	4.24388492857564	4.8318227878413	4.66859918989045	4.77354164095498	3.46149811230947	3.89602398817807	3.87937613104709	5.02525542984281	4.51320851693154	4.44336576326753	4.56906844454677	4.56115998639009	4.62925205357626
"[Clostridium] scindens"	4.02070319147058	3.98194092854767	4.58906712298988	4.17450066841501	3.59436333297296	4.06538651189221	4.66121920436286	4.8123237535509	4.63595978747371	3.73870672195712	4.22593194814527	4.31464780299153	4.30493214667498	4.2274592218176	4.3382487722607	4.04208144203699	4.76770327661087	4.40771159081606	4.25485314606318	4.44095090290399	4.15967347157877	4.12927291866982
"Lachnoclostridium phocaeense"	3.63351777878233	3.18046263039738	3.8574214346697	3.76438640431419	3.23511382242794	3.859791014177	3.77759025572233	3.64155662550973	3.86655774146059	3.49465152688235	3.90196544720149	3.97101133190525	3.86104718820174	3.13121246536915	3.63237648772712	2.8663851919955	3.85750824082704	3.59290858762223	3.99622235598577	4.09327666204339	3.53408774824184	4.05965464313404
"[Clostridium] hylemonae"	3.45620752212804	3.45016423529167	3.77739226189379	3.56176108973525	3.21635768835589	3.592980861879	4.82124567571321	5.01270894543407	4.79371386003455	5.21295131173855	5.33152971380188	5.14438577697746	5.121487688263	3.38127233806946	3.57591501303637	2.9541593463301	3.97013575455842	3.57673198402053	3.82176108263445	3.95645167803261	3.55916565136934	3.88462162447769
"Lachnoclostridium phytofermentans"	2.77635671656703	2.34729210793582	3.06870472453093	2.86669255513608	2.56768827442261	2.65071069061028	2.90648381481285	2.75970990185404	2.88284366657081	2.24115859112684	2.94750122199426	2.95793883028903	2.89139544506079	2.25045125573293	2.44196805893945	2.17868706952173	2.83799063310901	2.52043853131331	3.17426339896472	3.35502262825284	2.7324154527206	2.91680296053173
"Anaerostipes caccae"	4.39928592175365	3.68913551648956	3.85105055561806	3.98369867519441	3.40995593228579	4.17884370693209	4.93931509313016	5.04698069356468	4.85925684851208	4.26443249422369	4.90353243739113	4.63004298996027	4.82645134526607	3.4332288930913	3.89425099724651	3.02178049732702	4.57817324735352	4.01631053799075	5.14751844258336	4.94449989918764	4.89820718005114	4.60476287737355
"Anaerostipes rhamnosivorans"	3.68218441896999	3.05145118560557	3.4529298502745	3.46454171271535	2.98588756410738	3.47520622523133	4.10483590109408	4.21194017187257	4.03308439550214	3.4050423851366	4.09336618869019	3.82507850844979	3.98798222544861	2.85719934610442	3.20809194802376	2.53721331063436	3.81323605906981	3.3021095264542	4.26210669985756	4.16911979023937	4.06481992333176	3.8337801934234
"Anaerostipes hadrus"	3.6906985168456	2.8593455795358	3.38487144572948	3.30654215821524	2.84640499319845	2.94814037602188	3.26342333081444	3.23944200822915	3.21679605435282	2.69061009502969	3.36866600069048	3.19056841800956	3.13532427250529	3.32665894258891	3.10459166485269	3.13814746804817	3.38644800547595	3.059738163614	3.63712134157845	3.6559567325228	3.48653292723784	3.57678284114757
