"F1-10"	"F1-11"	"F1-12"	"F1-13"	"F1-14"	"F1-15"	"F1-16"	"F1-17"	"F1-18"	"F1-19"	"F1-20"	"F1-21"	"F1-22"	"F1-7"	"F1-8"	"F1-9"	"F3-10"	"F3-11"	"F3-12"	"F3-7"	"F3-8"	"F3-9"
"Anaerobutyricum hallii"	3636	676	2394	2395	1192	3052	1524	1874	4160	537	9136	4609	4705	502	2413	1093	1125	1024	2552	335	1306	2021
"Butyrivibrio fibrisolvens"	707	231	1710	1029	769	1820	613	661	2040	381	4043	2641	3248	131	597	641	431	407	428	141	477	716
"Butyrivibrio proteoclasticus"	534	179	1201	876	581	1162	378	473	1016	253	2143	1372	1710	126	666	225	454	462	234	188	484	682
"Butyrivibrio hungatei"	365	116	834	537	379	974	396	417	1419	184	2358	1536	1697	125	496	153	341	328	110	63	315	602
"Novisyntrophococcus fermenticellae"	2123	476	2667	2289	1596	2263	905	1318	2392	636	5014	2693	3824	428	1821	798	1292	1242	1033	494	2031	1418
"Lachnospira eligens"	537	344	1907	1023	491	603	266	448	754	157	2174	876	1026	1417	482	686	540	611	660	301	3249	1585
"Cellulosilyticum lentocellum"	3410	93	3025	3147	441	0	0	30	63	0	134	95	80	57	690	4613	2506	3117	458	0	56	2329
"Cellulosilyticum sp. WCF-2"	2288	71	1844	1149	266	0	0	39	36	0	90	0	53	129	630	2178	950	1471	215	0	61	1002
"Lachnoanaerobaculum umeaense"	578	164	892	783	390	781	334	443	1057	161	1913	1068	1334	99	818	153	472	325	282	247	610	624
"Anaerotignum propionicum"	448	423	1032	759	649	972	225	327	958	189	1819	1004	1537	128	538	182	407	328	183	54	231	330
"Wujia chipingensis"	447	205	992	743	435	1022	375	362	905	275	3437	1267	1502	123	865	184	513	464	499	487	489	1462
"Herbinix luporum"	494	93	910	614	408	976	288	314	862	188	1793	1338	1559	63	478	185	361	321	217	219	355	518
"Pseudobutyrivibrio xylanivorans"	317	93	663	475	326	496	222	202	555	176	1959	827	903	70	578	130	325	304	159	41	192	1888
"Ruthenibacterium lactatiformans"	43038	11866	124761	147326	131525	1575631	160326	305832	98787	396857	155367	21027	213045	10688	698750	72103	102579	695166	74102	35361	117249	291750
"Flavonifractor plautii"	65150	116485	74634	108494	385972	320703	14402	14983	51170	88672	117792	60174	160678	27611	362588	158598	95535	238986	57935	16969	93676	174108
"Anaerotruncus colihominis"	10199	5417	9135	42625	59266	26209	7459	6162	27824	13521	8175	7251	12087	3864	14336	3440	8395	17037	44080	4731	9451	19693
"Ruminococcus bicirculans"	225	115	340	401	210	338	107	164	295	58	856	264	970	213	31779	5907	54437	94326	147	77	413	53885
"Ruminococcus champanellensis"	682	152	869	813	363	858	133	238	492	310	942	554	803	80	968	126	873	1381	151	54	248	554
"Ruminococcus albus"	266	50	405	324	160	454	90	113	198	87	475	284	392	21	311	95	408	702	46	38	90	431
"Ruminococcus bovis"	212	47	210	132	115	142	59	81	151	40	247	128	151	38	179	185	153	187	28	0	76	109
"Faecalibacterium sp. IP118"	6592	1072	2726	3279	1465	11716	3496	4374	10568	501	8231	876	8071	347	7308	383	10209	15179	669	203	11911	7195
"Faecalibacterium sp. HTFF"	532	238	480	643	748	1732	378	554	1242	317	940	399	1102	218	956	247	4258	20836	375	129	43192	836
"Faecalibacterium sp. IP329"	506	390	723	1224	791	3267	339	435	976	339	1003	479	915	446	943	156	1192	2593	952	146	3835	1069
"Faecalibacterium sp. I3389"	595	170	630	711	420	1251	339	469	1061	368	1105	732	1092	117	1394	133	1803	4364	423	29	5708	937
"Faecalibacterium sp. I3333"	423	172	467	521	450	1171	242	371	795	222	742	355	790	187	594	190	952	3178	673	24	5745	1067
"Faecalibacterium sp. I4179"	385	220	712	694	501	1204	135	244	341	355	1171	553	586	132	914	208	1703	3600	1282	248	6700	875
"Faecalibacterium sp. I4384"	635	371	882	654	574	1125	195	244	475	331	1066	741	996	124	970	626	16515	81138	516	104	176156	885
"Faecalibacterium sp. I2392"	676	193	372	345	311	937	391	436	1126	100	1285	626	1026	60	1223	111	1212	2029	96	0	3132	899
"Faecalibacterium prausnitzii"	7095	2306	13918	10120	7858	11986	2776	4799	7693	4453	13148	10266	11189	1013	14800	4510	40672	164341	7010	1108	353496	13244
"Dysosmobacter welbionis"	14041	22374	3930	4256	5051	8790	676	1155	1967	1894	6749	2331	5388	9214	194793	2382	58891	74882	40623	264	1678	54679
"Dysosmobacter sp. Marseille-Q4140"	2932	1040	2320	2785	1855	4981	424	864	1119	1361	2539	1614	2217	389	11053	600	7103	14012	656	254	860	4268
"Pusillibacter faecalis"	12057	3030	9900	9621	7753	15416	1732	3196	4563	4951	8302	3721	6309	902	25271	7452	19032	34358	5963	1147	4332	8001
"Monoglobus pectinilyticus"	9332	331	14831	5571	4089	15230	6778	9989	9346	5465	2341	14022	13745	275	8384	307	7480	8439	61	65	407	8646
"Oscillibacter sp. NSJ-62"	3653	2953	4083	4520	1046	8345	891	1197	2742	1307	3118	866	3933	841	16079	3360	8995	15726	3149	466	1931	6478
"Vescimonas fastidiosa"	2402	449	1488	1455	807	2575	304	626	624	862	1301	666	1223	544	4859	1267	3278	6701	660	232	1191	1281
"Vescimonas coprocola"	791	620	1927	1947	890	3863	282	627	860	820	1690	930	1650	199	5176	748	3086	6355	775	137	870	1567
"Solibaculum mannosilyticum"	2994	872	1358	1697	1224	3029	585	832	1761	748	2254	1712	2261	450	1593	1489	3642	4772	2260	181	845	5523
