"F1-10"	"F1-11"	"F1-12"	"F1-13"	"F1-14"	"F1-15"	"F1-16"	"F1-17"	"F1-18"	"F1-19"	"F1-20"	"F1-21"	"F1-22"	"F1-7"	"F1-8"	"F1-9"	"F3-10"	"F3-11"	"F3-12"	"F3-7"	"F3-8"	"F3-9"
"Syntrophomonas wolfei"	72	0	87	87	38	98	20	32	64	27	96	48	123	0	60	23	54	50	0	165	163	36
"Heliomicrobium modesticaldum"	115	0	102	126	60	190	39	51	90	20	78	49	64	0	183	15	203	375	24	0	23	140
"Symbiobacterium thermophilum"	62	0	100	133	53	234	0	23	31	79	91	73	84	0	317	12	117	359	45	0	14	59
"Alkalicella caledoniensis"	105	0	34	27	18	19	19	22	46	10	141	58	71	17	37	18	21	38	0	0	10	31
"Thermoanaerobacterium thermosaccharolyticum"	81	31	122	51	36	83	45	25	101	0	326	85	176	65	31	46	42	55	12	0	27	454
"Thermoanaerobacterium sp. RBIITD"	42	19	50	29	19	46	0	27	59	0	149	67	106	53	61	28	32	24	0	0	26	36
"Gelria sp. Kuro-4"	166	10	190	190	163	217	12	18	30	42	52	48	58	0	267	23	147	229	20	0	21	91
"Thermacetogenium phaeum"	67	0	93	123	34	136	0	40	20	110	143	91	147	0	106	0	90	149	53	47	81	83
"Tepidanaerobacter acetatoxydans"	107	33	105	75	48	163	115	120	324	48	629	416	509	31	70	47	69	67	15	0	39	59
"Biomaibacter acetigenes"	66	24	133	131	44	123	19	22	67	47	170	90	124	12	66	18	53	69	61	30	70	41
"[Clostridium] innocuum"	295581	89918	71954	272729	142210	109900	127945	389463	42000	48673	849811	159721	236318	8800	1371456	4571	160721	174192	4736	45612	519115	315459
"Erysipelatoclostridium ramosum"	46704	5386	38416	8838	30646	7448	12282	17478	13961	2624	90618	15868	8732	45075	48878	26159	10782	27238	4777	2669	43556	14823
"Faecalitalea cylindroides"	2449	289	1050	1368	550	1032	189	442	1033	825	696	517	1655	110	3058	650	2980	1901	162	43	579	6303
"Amedibacterium intestinale"	1157	232	758	758	349	1024	359	539	1119	136	1479	395	1046	149	904	431	802	791	98	40	375	909
"Longicatena caecimuris"	1009	197	623	575	449	679	195	254	529	163	1260	442	880	130	627	312	570	582	164	142	629	598
"Erysipelothrix larvae"	26	26	23	29	21	104	22	31	97	18	129	120	183	13	88	0	33	29	0	0	22	21
"Allobaculum sp. Allo2"	128	26	206	215	93	106	33	44	79	39	139	81	110	0	169	47	132	141	63	25	67	178
"Allobaculum mucolyticum"	88	34	98	137	100	216	20	48	71	27	121	46	78	27	325	19	92	171	21	0	45	96
"Faecalibaculum rodentium"	194	39	261	178	115	249	93	134	223	78	399	284	404	19	286	30	190	235	60	31	159	154
"Intestinibaculum porci"	73	41	225	223	102	275	51	77	107	25	316	143	187	25	183	44	41	69	61	13	143	48
"Faecalibacillus intestinalis"	483	47	102	88	72	86	38	87	124	11	256	80	155	90	212	143	111	127	27	13	137	141
"Tannockella kyphosi"	109	23	87	46	28	40	14	23	27	0	56	24	47	61	61	26	40	33	0	31	47	29
"Turicibacter sanguinis"	259	10	59	22	10	0	11	14	14	0	48	16	14	38	65	172	19	35	2993	0	14	38
"Turicibacter sp. TJ11"	324	0	75	0	18	87	23	27	80	14	200	92	143	36	23	189	14	32	20	0	22	13
"Turicibacter sp. H121"	363	14	99	57	39	40	22	30	63	0	31	14	18	26	51	177	48	57	27	0	13	36
"Paenibacillus sp. FSL H7-0357"	266	25	381	306	205	400	127	129	350	103	621	363	651	21	193	75	187	180	161	67	225	146
"Paenibacillus sp. JZ16"	202	33	353	284	153	139	28	68	129	75	331	198	274	18	150	48	179	133	187	58	178	116
"Paenibacillus sp. HWE-109"	199	17	318	284	171	196	32	40	81	33	168	87	116	14	132	42	102	79	92	70	146	92
"Paenibacillus sp. FSL R7-0331"	279	20	149	177	126	209	47	66	162	68	362	142	245	22	117	70	60	111	71	44	148	94
"Paenibacillus sp. FSL R7-0273"	192	56	203	172	132	81	25	74	64	41	130	67	56	41	162	55	215	201	62	56	253	201
"Paenibacillus sp. 32O-W"	103	26	262	239	104	264	30	42	69	54	169	103	163	29	164	17	119	129	111	61	135	95
"Paenibacillus sp. PK3_47"	127	34	193	189	116	219	31	60	70	49	260	120	166	19	148	25	143	191	20	57	98	131
"Paenibacillus sp. BIHB4019"	111	35	144	165	80	280	37	39	135	43	403	192	326	28	128	28	111	132	53	10	51	104
"Paenibacillus sp. YPD9-1"	90	10	196	89	92	142	44	64	162	20	251	161	216	11	70	27	109	96	55	44	189	33
"Paenibacillus sp. FSL R5-0912"	163	20	227	228	150	76	41	67	76	42	112	73	92	21	156	44	117	98	118	53	146	105
"Paenibacillus sp. URB8-2"	100	30	199	169	127	311	58	70	164	56	301	260	318	25	160	29	112	85	48	20	52	81
"Paenibacillus sp. B01"	98	18	150	192	108	278	44	60	205	134	361	273	416	0	252	27	137	217	65	17	59	107
"Paenibacillus sp. JNUCC-31"	84	34	172	119	91	128	46	61	106	23	184	108	189	0	50	25	72	100	39	80	193	46
"Paenibacillus sp. CAA11"	153	40	207	146	76	55	13	26	36	20	90	66	81	20	157	31	103	94	70	33	119	88
"Paenibacillus sp. 19GGS1-52"	186	27	178	163	79	177	43	44	74	23	216	113	171	0	97	58	86	67	36	15	56	71
"Paenibacillus sp. FSL P4-0081"	139	21	196	143	84	84	29	58	55	42	87	77	79	36	138	96	140	176	99	137	153	92
"Paenibacillus sp. RUD330"	65	57	124	141	85	119	14	29	37	80	103	75	90	29	180	23	85	107	93	14	55	71
"Paenibacillus sp. DCT19"	90	15	115	83	60	124	23	20	95	37	208	120	249	16	68	32	56	32	57	0	17	44
"Paenibacillus sp. H1-7"	97	28	81	96	50	130	17	29	49	18	102	50	107	11	93	19	65	93	47	40	74	76
"Paenibacillus sp. R14(2021)"	131	75	233	225	245	206	37	51	101	51	190	106	169	25	273	54	78	94	27	0	23	86
"Paenibacillus sp. sptzw28"	161	16	139	98	87	92	26	31	40	71	83	51	114	12	132	14	115	121	43	17	79	86
"Paenibacillus sp. IHBB 10380"	34	0	60	44	49	73	24	28	83	23	213	76	135	0	32	14	19	24	13	0	28	28
"Paenibacillus sp. FSL R5-0345"	79	20	147	109	73	53	34	56	82	25	120	74	125	16	56	19	40	48	44	16	112	37
"Paenibacillus sp. E222"	59	0	49	43	57	67	28	47	60	0	128	75	88	0	41	13	76	30	17	0	43	61
"Paenibacillus sp. 37"	314	0	0	434	243	375	0	0	0	105	0	0	281	0	738	0	212	315	0	0	129	160
"Paenibacillus lutimineralis"	188	57	441	308	195	434	54	97	278	80	498	295	435	31	238	65	137	113	210	115	189	160
"Paenibacillus donghaensis"	249	29	339	316	194	380	69	111	112	79	284	157	276	26	251	32	185	202	146	114	222	161
"Paenibacillus mucilaginosus"	227	27	429	390	187	322	58	72	186	73	313	275	249	17	297	47	219	236	93	29	109	161
"Paenibacillus cellulositrophicus"	166	27	284	271	143	174	31	50	123	62	271	147	221	16	210	33	155	185	141	124	185	153
"Paenibacillus tianjinensis"	186	63	327	332	187	323	48	80	210	61	368	195	301	39	160	42	159	115	89	22	139	158
"Paenibacillus odorifer"	174	28	318	237	149	96	22	57	61	46	156	106	88	14	112	57	113	109	99	85	156	81
"Paenibacillus macerans"	176	31	184	208	136	113	38	45	83	69	257	109	136	27	164	45	125	104	72	35	104	84
"Paenibacillus lycopersici"	101	12	214	195	71	205	31	40	93	50	197	106	187	0	132	16	86	92	49	41	128	68
"Paenibacillus jilunlii"	159	21	224	269	139	221	36	60	168	97	282	156	318	0	157	23	67	58	267	102	162	70
"Paenibacillus borealis"	158	26	288	205	132	165	23	67	105	47	332	121	274	0	109	13	113	96	128	65	153	93
"Paenibacillus protaetiae"	119	17	237	211	138	166	19	37	46	45	156	67	116	11	123	38	115	112	147	48	78	95
"Paenibacillus polymyxa"	564	83	912	575	438	740	148	353	620	234	1009	787	786	97	740	301	840	746	338	213	241	827
"Paenibacillus dendritiformis"	186	16	248	253	136	169	24	23	25	75	215	96	182	11	138	18	72	91	139	60	133	91
"Paenibacillus graminis"	171	39	229	175	117	129	43	53	120	46	213	125	142	23	109	17	117	82	210	90	113	84
"Paenibacillus stellifer"	128	36	186	158	97	155	32	49	103	78	230	136	211	22	192	22	123	171	97	49	80	77
"Paenibacillus physcomitrellae"	80	24	147	139	83	199	52	104	197	106	384	248	407	0	60	26	45	41	72	45	122	53
"Paenibacillus riograndensis"	78	0	142	122	110	65	18	54	44	33	116	65	103	0	123	49	84	107	18	0	42	84
"Paenibacillus sonchi"	62	62	123	109	40	92	28	0	50	53	175	54	78	32	59	0	116	105	94	21	82	35
"Paenibacillus azoreducens"	137	22	198	207	92	105	40	46	119	41	245	99	182	0	125	17	176	149	76	43	93	120
"Paenibacillus yonginensis"	333	33	348	252	220	125	45	56	88	54	384	130	169	40	194	71	138	139	55	35	84	118
"Paenibacillus lentus"	84	25	242	179	142	118	12	50	80	0	155	104	128	13	66	38	46	29	49	34	137	40
"Paenibacillus ihbetae"	99	64	237	117	93	97	32	30	60	59	147	112	150	34	147	35	127	141	41	43	116	119
"Paenibacillus xylanilyticus"	63	22	178	182	65	194	23	31	92	81	285	154	177	0	114	34	57	63	114	55	75	66
"Paenibacillus kribbensis"	94	22	146	118	87	139	41	50	82	20	232	98	200	0	70	27	56	48	0	14	119	57
"Paenibacillus tritici"	133	37	210	184	86	133	21	39	51	54	140	115	145	21	179	27	121	119	134	58	90	81
"Paenibacillus barcinonensis"	71	18	129	122	75	113	36	50	134	38	343	173	185	15	104	32	79	82	19	15	91	85
"Paenibacillus rhizovicinus"	99	21	112	129	46	93	31	44	65	46	233	97	144	0	109	17	113	123	45	41	88	66
"Paenibacillus cellulosilyticus"	106	16	168	136	141	142	18	34	43	29	155	63	133	16	154	21	72	116	22	0	38	92
"Paenibacillus durus"	131	35	102	122	68	146	37	37	63	36	175	70	127	18	170	16	124	118	30	57	118	79
"Paenibacillus albicereus"	119	0	128	122	82	171	28	33	57	71	177	90	149	0	176	0	91	124	67	81	79	68
"Paenibacillus albus"	131	14	101	113	92	189	59	72	128	35	213	129	194	12	187	21	102	92	49	36	116	90
"Paenibacillus lautus"	126	0	223	214	100	195	38	61	81	76	139	61	225	0	125	0	125	104	120	45	145	68
"Paenibacillus beijingensis"	79	14	107	101	64	147	29	32	118	43	166	143	159	17	90	18	74	70	53	15	40	81
"Paenibacillus bovis"	129	37	232	149	111	100	16	42	47	19	183	79	48	17	104	30	120	93	134	67	98	91
"Paenibacillus konkukensis"	44	12	165	133	70	140	28	35	71	24	147	75	92	21	88	14	56	66	30	32	79	57
"Paenibacillus naphthalenovorans"	82	21	122	169	104	64	18	28	27	26	142	71	90	10	129	21	84	66	79	31	62	65
"Paenibacillus thiaminolyticus"	62	11	149	126	73	113	20	38	26	26	72	40	75	11	107	28	55	61	56	29	45	88
"Paenibacillus swuensis"	72	15	191	143	80	58	22	18	61	42	150	87	102	12	97	14	63	59	88	40	73	67
"Paenibacillus pabuli"	95	19	99	86	74	47	19	37	34	0	86	49	45	0	90	30	95	104	16	16	47	51
"Paenibacillus algicola"	102	15	214	164	94	139	15	35	43	21	107	61	63	11	117	41	57	107	21	16	37	72
"Paenibacillus larvae"	46	18	89	79	88	88	10	21	41	20	101	36	50	12	91	34	54	58	22	20	46	93
"Paenibacillus sabinae"	95	33	180	104	79	46	0	39	44	28	85	43	56	14	96	0	79	112	68	14	92	30
"Paenibacillus chitinolyticus"	66	14	82	83	74	91	25	11	33	26	124	38	56	0	139	13	62	88	27	13	43	116
"Paenibacillus glucanolyticus"	736	0	1020	1049	526	202	0	0	112	78	373	180	199	0	359	130	228	270	215	113	623	205
"Paenibacillus alvei"	57	0	72	72	30	158	32	45	65	75	116	73	147	15	166	0	25	91	28	14	83	50
"Paenibacillus guangzhouensis"	68	0	110	62	68	32	16	30	30	17	71	43	64	0	81	26	72	73	0	0	45	101
"Paenibacillus peoriae"	99	129	366	157	209	511	100	114	306	132	519	365	559	0	141	58	78	162	0	0	137	160
"Paenibacillus agaridevorans"	139	0	118	75	100	53	28	65	62	25	178	84	123	53	71	24	65	131	0	0	72	90
"Brevibacillus brevis"	134	21	191	139	121	420	75	75	242	75	584	271	593	22	418	58	215	308	56	0	56	262
"Brevibacillus sp. MMS20-4M-10-Y"	79	12	88	151	54	181	29	36	67	24	224	74	112	15	86	11	100	82	40	15	46	91
"Brevibacillus choshinensis"	53	17	101	77	94	70	15	22	45	44	125	73	155	22	83	30	60	81	19	0	71	57
"Brevibacillus laterosporus"	161	33	168	95	92	106	21	39	74	30	197	134	139	19	81	81	70	84	80	0	39	114
"Brevibacillus composti"	62	39	110	113	68	94	25	25	24	40	75	36	49	22	135	16	76	168	12	0	35	51
"Cohnella sp. LGH"	317	48	405	438	221	437	49	79	195	72	502	284	397	0	243	76	190	185	173	44	73	181
"Cohnella sp. MFER-1"	132	22	236	212	101	109	35	32	97	23	250	109	255	12	110	21	72	55	69	35	73	46
"Cohnella candidum"	113	22	169	148	75	57	11	23	36	35	89	65	73	0	120	20	87	114	85	55	76	75
"Saccharibacillus brassicae"	140	10	180	225	114	148	49	34	84	64	241	103	199	13	827	0	183	210	105	45	80	235
"Aneurinibacillus soli"	64	46	83	53	60	172	41	59	144	38	278	165	210	29	144	16	48	93	14	48	113	71
"Thermobacillus composti"	42	0	78	93	29	218	34	28	73	72	174	85	175	13	73	0	78	131	0	37	71	46
"Bacillus paralicheniformis"	80	26	208	210	112	310	35	46	117	93	243	146	276	0	465	36	77	85	271	83	102	81
"Bacillus velezensis"	185	0	304	254	174	343	163	180	444	243	1293	779	617	36	412	150	291	271	151	147	242	136
"Bacillus amyloliquefaciens"	128	0	159	113	96	193	0	45	72	0	346	177	295	71	165	111	178	647	243	0	241	56
"Bacillus subtilis"	473	134	386	459	480	524	84	83	170	86	1064	338	1451	83	493	198	504	322	44	33	195	158
"Bacillus licheniformis"	158	0	580	311	157	370	42	82	157	221	384	139	155	0	1092	41	97	179	339	118	148	115
"Bacillus atrophaeus"	332	0	67	66	41	182	38	54	95	37	188	124	224	0	28	12	60	21	0	36	31	276
"Bacillus sp. NSP9.1"	75	23	142	148	57	164	18	33	87	32	165	93	113	18	100	16	75	56	71	37	75	39
"Bacillus sp. Y1"	106	23	166	116	74	143	0	17	25	20	74	48	48	14	56	51	38	52	46	43	50	36
"Bacillus sp. FJAT-18017"	41	16	37	64	27	110	42	29	89	32	200	111	149	0	76	0	40	42	0	0	52	58
"Bacillus mycoides"	129	22	119	79	41	66	29	34	78	24	322	109	223	36	131	31	94	120	17	0	88	64
"Bacillus thuringiensis"	221	97	215	250	152	68	22	96	86	120	574	449	321	132	182	406	203	152	49	56	245	98
"Bacillus cereus"	470	89	476	379	349	469	324	209	300	119	1091	225	527	267	242	275	127	218	441	0	203	961
"Bacillus infantis"	68	15	187	143	57	227	62	76	150	31	389	164	264	22	56	32	70	70	15	19	86	64
"Bacillus glycinifermentans"	78	15	104	102	71	57	18	31	41	27	132	43	97	0	101	36	76	47	37	20	43	89
"Bacillus pumilus"	84	75	141	76	42	60	0	28	36	21	134	63	90	27	76	21	51	75	57	0	27	50
"Bacillus badius"	56	0	46	66	46	111	31	37	126	0	211	119	213	0	65	0	42	31	0	0	25	54
"Metabacillus sp. cB07"	100	0	132	146	72	74	11	26	34	21	132	62	95	0	122	22	56	58	79	23	54	106
"Metabacillus sp. B2-18"	114	0	117	43	36	30	33	32	70	0	54	36	36	0	30	32	32	52	14	0	0	42
"Lysinibacillus fusiformis"	65	15	63	40	33	87	33	52	63	0	152	102	156	27	21	62	20	30	38	13	55	41
"Geobacillus subterraneus"	101	0	100	103	77	131	26	81	142	55	270	198	177	0	87	33	153	91	0	0	0	48
"Priestia megaterium"	543	79	524	251	184	221	102	83	365	154	718	395	422	87	281	189	295	228	55	18	117	102
"Cytobacillus oceanisediminis"	106	46	169	147	74	178	28	57	147	58	221	153	193	27	93	31	72	79	40	57	133	86
"Mesobacillus foraminis"	67	48	111	100	58	107	69	82	228	37	530	268	321	19	55	20	54	45	15	0	45	65
"Anoxybacillus sediminis"	85	20	102	120	61	140	31	41	91	122	314	131	297	11	82	14	112	114	101	0	12	62
"Peribacillus frigoritolerans"	33	0	124	65	45	79	0	17	84	0	121	62	77	0	15	19	22	19	0	0	20	17
"Weizmannia coagulans"	154	41	268	211	119	138	35	68	72	64	223	115	133	25	187	55	143	163	175	72	206	114
"Gracilibacillus salitolerans"	107	22	110	54	45	45	12	15	53	18	157	80	93	51	30	36	37	44	10	0	38	28
"Neobacillus drentensis"	86	23	124	91	65	96	28	25	68	13	126	79	96	31	84	34	30	58	38	38	48	55
"Neobacillus mesonae"	77	16	97	82	57	46	0	31	29	26	125	38	41	13	100	36	69	61	77	45	46	54
"Parageobacillus thermoglucosidasius"	68	16	89	102	43	74	16	57	84	32	142	128	89	26	66	0	41	40	51	48	41	96
"Rossellomorea marisflavi"	127	23	159	161	80	124	21	36	28	40	112	44	55	20	197	11	90	99	29	32	83	121
"Niallia sp. Man26"	98	20	132	108	59	112	34	38	86	22	229	157	198	59	92	23	60	80	68	0	16	55
"Niallia circulans"	166	23	198	73	71	46	0	11	23	17	109	47	43	26	73	40	25	44	16	0	44	45
"Salisediminibacterium beveridgei"	87	12	163	94	70	72	0	40	23	20	94	48	60	0	403	23	114	152	40	28	119	171
"Planococcus sp. MB-3u-03"	34	0	76	61	35	196	30	23	86	28	215	150	195	0	78	0	35	29	52	15	45	42
"Planococcus lenghuensis"	39	21	93	73	35	222	40	54	106	80	251	146	262	28	58	35	46	98	0	15	40	23
"Sporosarcina sp. Te-1"	128	26	191	236	109	93	17	19	53	40	151	96	104	0	119	37	63	44	109	91	113	99
"Sporosarcina ureae"	65	0	76	79	22	117	25	48	50	19	115	59	134	16	56	25	46	41	0	0	25	44
"Jeotgalibacillus malaysiensis"	49	12	92	100	68	188	35	23	73	17	250	93	141	0	45	26	17	28	16	0	36	33
"Staphylococcus aureus"	949	223	646	677	305	2722	229	291	248	213	837	634	892	224	496	377	267	423	444	188	251	212
"Salinicoccus halodurans"	21	11	59	48	30	89	31	37	99	30	249	137	172	12	35	13	18	22	0	0	15	33
"Listeria monocytogenes"	297	76	463	234	75	151	60	34	308	323	612	266	576	46	471	712	397	255	42	0	97	246
"Thermoactinomyces vulgaris"	70	0	94	110	80	111	25	33	102	31	201	108	171	0	94	28	40	40	40	20	89	49
"Alicyclobacillus acidocaldarius"	61	20	83	147	64	105	16	23	37	30	61	27	57	0	214	18	87	151	40	26	48	93
"Sporolactobacillus terrae"	36	0	50	78	41	192	39	33	113	25	246	132	208	0	11	14	13	17	16	0	0	18
"Enterococcus faecium"	6895	3337	2339	1830	1273	7219	2030	6013	5591	2208	9609	3292	5617	10373	3576	168142	3132	5855	2169	490	3335	2628
"Enterococcus avium"	852	104	32716	6023	6619	13877	618	850	1001	472	1036	941	15270	679	188	204972	155	287	80	37	225	229
"Enterococcus faecalis"	269	5792	1261	540	62963	127	313	311	13437	998	12323	13478	44828	32238	348	83398	14068	36976	278	355	242	7546
"Enterococcus cecorum"	217	209	287	119	166	382	135	159	415	101	904	449	813	154	97	113	51	122	17	0	237	63
"Enterococcus wangshanyuanii"	46	11	53	26	39	42	41	39	93	11	167	138	91	18	45	58	49	52	0	32	37	41
"Enterococcus casseliflavus"	45	23	188	122	71	147	48	36	134	16	189	187	253	17	66	224	42	33	0	0	14	137
"Enterococcus raffinosus"	31	0	158	23	47	39	11	0	25	18	79	28	124	0	28	1595	17	21	0	0	0	25
"Enterococcus gallinarum"	16	0	286	0	90	34	0	18	0	0	0	0	77	0	36	3073	0	56	0	0	0	3541
"Vagococcus lutrae"	217	0	70	45	33	57	0	0	40	0	108	62	74	19	24	83	11	22	35	0	32	22
"Streptococcus suis"	594	60	516	214	65	208	50	76	146	34	345	140	300	96	699	305	276	196	87	0	99	222
"Streptococcus equi"	177	25	78	133	97	33	30	55	53	19	126	53	63	43	74	87	35	43	35	0	31	37
"Streptococcus agalactiae"	955	416	1179	1344	579	170	0	389	204	0	882	420	201	1009	206	374	487	431	407	206	1484	305
"Streptococcus oralis"	306	19	47	80	62	113	44	67	134	28	358	167	211	32	94	146	36	45	0	0	39	58
"Streptococcus sanguinis"	272	14	107	54	47	161	41	37	118	25	218	134	209	49	60	115	46	64	0	0	26	46
"Streptococcus chenjunshii"	106	37	56	49	65	63	27	34	44	24	87	70	49	45	34	82	48	33	0	26	89	22
"Streptococcus anginosus"	136	0	18	0	0	99	47	21	169	44	658	152	192	26	55	76	62	19	0	0	18	58
"Streptococcus pneumoniae"	331	19	116	67	114	63	0	10	24	0	515	127	51	49	123	133	121	187	26	0	115	115
"Streptococcus gordonii"	196	29	34	15	27	46	21	25	60	19	166	67	105	36	78	84	53	115	0	0	13	31
"Streptococcus gallolyticus"	132	0	82	34	43	101	52	37	72	49	206	86	238	39	70	91	38	40	184	47	121	36
"Streptococcus pyogenes"	127	30	62	0	0	103	29	29	155	246	261	112	183	87	26	131	26	0	0	0	0	29
"Streptococcus pasteurianus"	525	0	44	29	0	89	90	0	159	0	95	0	83	105	0	208	0	0	0	0	182	0
"Streptococcus lutetiensis"	650	0	32	95	86	53	59	48	57	0	38	43	55	0	91	282	40	78	0	0	0	80
"Streptococcus salivarius"	141	0	37	49	25	17	0	0	0	22	44	0	15	23	61	83	45	18	0	0	26	30
"Lactococcus lactis"	56	0	57	53	26	401	213	137	602	35	1202	739	1093	24	33	34	16	51	0	0	0	26
"Lactobacillus delbrueckii"	92	0	126	160	77	168	15	22	55	33	162	82	106	0	164	36	76	133	28	22	25	84
"Ligilactobacillus murinus"	115	15	164	70	98	0	0	0	18	0	23	0	0	17	34	44	15	15	0	0	23	25
"Ligilactobacillus ruminis"	36	0	40	33	27	41	33	27	52	29	205	82	92	0	25	13	33	22	20	0	10	41
"Lacticaseibacillus paracasei"	85	0	106	103	59	59	0	34	20	39	51	48	52	0	64	29	29	37	78	44	66	30
"Limosilactobacillus fermentum"	43	0	26	56	31	50	0	0	0	57	25	15	51	0	423	17	46	61	0	0	21	35
"Levilactobacillus brevis"	49	19	73	71	51	43	22	23	40	56	128	63	93	0	109	35	82	105	0	0	0	38
"Dolosigranulum pigrum"	47	0	21	31	11	157	44	37	126	39	223	154	227	0	0	13	10	17	0	0	22	13
"Selenomonas ruminantium"	184	32	291	226	166	391	80	84	185	98	622	300	444	27	424	34	252	383	70	35	69	192
"Selenomonas sp. oral taxon 920"	42	0	49	52	54	110	35	31	64	45	139	80	145	0	66	15	85	79	45	0	50	57
"Selenomonas sp. oral taxon 126"	65	0	39	39	24	61	20	15	47	21	127	48	107	0	110	0	100	113	18	0	24	31
"Selenomonas sp. oral taxon 478"	44	0	60	51	72	118	0	27	92	0	169	93	86	0	86	0	47	70	0	0	0	90
"Selenomonas sp. oral taxon 136"	44	0	26	56	0	204	46	55	208	0	314	171	284	0	59	0	84	67	0	0	0	56
"Selenomonas sputigena"	79	18	110	136	71	153	16	38	65	45	175	74	107	0	159	14	79	143	51	39	58	78
"Selenomonas timonae"	98	27	103	109	74	186	40	25	120	30	283	150	248	14	180	17	93	131	45	0	37	52
"Megamonas funiformis"	88	24	81	57	47	33	22	14	21	17	78	42	37	42	92	38	40	34	0	0	29	45
"Pectinatus frisingensis"	50	27	40	45	58	127	49	52	91	30	286	84	181	15	33	25	54	64	13	15	94	45
"Methylomusa anaerophila"	86	16	128	89	62	60	20	39	44	24	147	69	89	13	78	30	74	64	58	44	113	59
"Sporomusa termitida"	68	27	152	87	84	101	36	39	81	45	134	104	102	24	83	38	73	69	75	26	88	47
"Acidaminococcus fermentans"	179	19	392	471	159	650	45	52	123	125	311	185	300	19	412	53	289	453	115	31	143	130
"Acidaminococcus intestini"	99	27	156	153	85	112	21	48	69	39	179	113	129	0	101	27	108	111	87	42	102	89
"Phascolarctobacterium faecium"	127	18	139	108	62	117	55	52	109	44	215	114	195	13	145	26	76	99	74	52	116	102
"Phascolarctobacterium sp. Marseille-Q4147"	117	21	209	204	105	280	48	48	125	41	391	136	167	0	90	23	89	137	38	20	84	121
"Phascolarctobacterium succinatutens"	156	31	116	163	72	286	49	56	94	148	273	147	305	19	421	36	271	306	67	44	131	167
"Megasphaera elsdenii"	114	39	224	234	162	354	64	73	141	77	382	186	255	10	323	65	133	262	51	23	92	86
"Megasphaera stantonii"	161	39	114	128	75	218	48	67	109	97	321	155	235	13	250	59	257	240	15	20	66	225
"Megasphaera massiliensis"	53	20	122	93	88	98	24	20	34	27	134	60	87	16	103	18	55	88	37	35	98	38
"Veillonella parvula"	63	0	81	88	39	100	14	20	37	0	105	50	73	10	36	14	41	0	0	0	80	29
"Keratinibaculum paraultunense"	73	38	57	111	119	0	63	91	72	0	83	26	59	48	21	107	15	41	17	0	43	27
"Tissierella sp. JN-28"	131	27	103	136	168	24	48	57	90	0	157	48	103	42	144	53	52	95	11	49	79	153
"Murdochiella vaginalis"	89	124	205	115	126	172	48	70	129	87	240	182	294	61	114	42	127	161	43	52	98	79
"Peptoniphilus harei"	41	0	83	52	30	52	0	0	15	0	32	32	19	21	21	20	0	31	0	0	11	14
"Finegoldia magna"	75	13	87	41	32	46	0	40	19	17	82	32	48	16	55	29	16	22	30	38	107	42
"Gottschalkia acidurici"	121	20	100	37	23	51	36	26	85	20	196	94	155	105	32	77	31	34	10	0	45	26
"Ndongobacter massiliensis"	74	14	94	111	92	345	49	67	169	57	287	175	324	14	166	33	64	88	10	0	38	90
"Bifidobacterium longum"	1803	326400	461	638	821	1461	506	555	309	30946	30369	28300	49820	191839	95546	1769	872	1095	212	113	475	1046
"Bifidobacterium breve"	720	843	350	774	408	488	148	200	245	148	405	200	308	507	622	243	274	357	122	98	378	627
"Bifidobacterium pullorum"	62	773	31	63	70	112	0	16	15	98	108	98	115	409	465	13	92	152	21	0	29	79
"Bifidobacterium adolescentis"	66	428	92	129	67	314	31	59	48	161	122	87	233	264	365	0	171	128	0	0	32	599
"Bifidobacterium eulemuris"	54	141	72	91	58	466	123	111	515	90	928	602	809	89	348	0	58	110	30	0	33	63
"Bifidobacterium lemurum"	35	184	35	66	13	159	27	20	99	49	234	137	170	119	243	0	44	153	0	15	25	46
"Bifidobacterium catenulatum"	103	44	239	220	121	104	14	52	48	21	94	69	61	25	103	31	61	95	25	54	50	62
"Bifidobacterium bifidum"	96	47	95	106	67	82	10	154	14	72	194	34	51	43	210	14	78	93	44	0	123	39
"Bifidobacterium animalis"	64	27	49	109	102	259	12	80	34	52	71	32	122	20	613	32	97	278	103162	0	76	116
"Bifidobacterium saguini"	92	84	205	137	230	257	29	45	108	60	149	101	164	35	388	52	25	66	12	0	0	13
"Bifidobacterium asteroides"	87	24	72	69	55	100	36	34	58	54	132	86	153	0	221	0	118	174	25	0	114	78
"Bifidobacterium pseudocatenulatum"	41	16	49	89	41	143	32	30	73	24	128	107	105	14	136	18	56	100	21	0	96	50
"Bifidobacterium pseudolongum"	38	23	42	69	53	131	13	26	43	63	104	49	113	14	374	25	118	200	23	0	32	64
"Parascardovia denticolens"	83	13	236	142	116	109	14	29	50	36	118	47	79	0	157	22	84	101	132	59	109	65
"Curtobacterium flaccumfaciens"	76942	1170	4393	7738	53916	11643	3475	2996	1339	2738	24718	7086	27698	6053	1408	8977	88858	40035	7990	343	13765	6805
"Microbacterium foliorum"	40	0	15	48	37	86	43	29	72	10	92	49	91	0	151	0	48	110	43	0	19	37
"Microbacterium hominis"	141	0	240	172	158	179	0	0	0	77	146	116	129	0	343	0	114	257	0	0	0	35
"Cryobacterium sp. LW097"	43	40	162	140	140	95	20	0	54	24	67	40	63	22	219	35	19	40	14	0	21	17
"Arthrobacter alpinus"	66	39	180	127	92	155	25	0	84	61	187	107	138	25	254	19	124	238	0	0	41	74
