"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"Aquicella"	0	0	0	0	2.51117961624436	2.52631731935396	1.97472426043282	0	0	0	0	2.05247369728593	2.31094067916328	0	2.14439617889172	0	2.49998277923673	2.62317817706842	2.71533451211049	2.65883126164398	2.5733797640977	2.58693333496796	0	2.60396121734266	2.60541643436308	2.50383481240612	0
"Aquisphaera"	2.99491301081953	2.83611869073193	0	0	0	0	0	0	0	0	2.87543131630566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Asticcacaulis"	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78364932192143	0	0	0	0	0	0	0	0	0	0	0	0	0
"Atlantibacter"	0	0	0	0	0	0	0	0	0	1.5140728489761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacillus"	3.99626533515975	3.94010291738742	4.11037289197413	3.88226959832052	3.93121018186671	3.66225233050869	3.94218328625853	3.89888651813553	4.06314962054033	3.98913182462507	3.93275536783324	3.99369731962048	3.99086902313325	3.36484227633823	4.05110722459477	3.62134327635755	3.78961614148956	3.92855074631413	3.82747380151784	3.94604250970594	3.94508710861412	3.89294230713716	3.95528942303246	3.9192080997966	3.88923450438781	3.80945710212285	3.89937562651442
"Bdellovibrio"	0	2.04783962390116	0	1.60567521254332	0	0	2.48150991260496	2.34162202032549	0	2.35191021273039	2.46386901821381	2.5112392152628	2.65309848015304	2.29547829662426	2.19550395739528	2.30738134428115	1.93305223031879	1.97192727469342	0	0	0	0	0	2.24041845161382	0	0	2.00099445770018
"BMM02"	0	0	0	0	0	0	0	0	2.34286614487733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bradyrhizobium"	0	0	0	0	2.63278507573455	0	2.95034664545163	2.66535609366423	0	2.82392125578098	0	0	3.07608036098091	0	0	0	3.02040503419367	0	2.97383010953886	0	0	2.76972366501382	0	2.66830474878452	2.65819656662686	2.80897502243856	2.34189159076006
"Brevibacillus"	2.44035289431224	0	2.54829967546105	2.33331772446383	0	0	0	0	2.47302928696323	2.24067121582294	0	2.30084532612312	2.33249647168554	0	2.4286333765574	0	0	0	0	0	2.15492482730697	0	0	0	0	0	0
"Bryobacter"	3.69773822598637	3.63471659310832	3.7983166341246	0	0	0	3.71015848223719	3.69917969787626	3.72682444537376	3.56584137560834	3.69453821347379	3.65403095534979	3.67309363140415	3.08334037471343	3.6826886523332	3.39452071396576	0	0	0	0	0	2.79968692770993	0	0	0	0	0
"Burkholderia-Caballeronia-Paraburkholderia"	3.15088864823132	2.73318591490755	2.90891311738007	0	0	0	2.54040936554953	2.70774660821807	0	2.32853640409016	2.59755450702092	3.03568966810488	3.22101824988494	0	2.57950770646841	2.66858794661575	0	0	0	0	0	0	0	0	0	0	0
"Byssovorax"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63295881949825	0	0	0	0	0	0	0	0	0	0
"Caenimonas"	0	2.715364057304	2.82392743868412	0	0	0	0	0	2.83080140522796	0	0	2.47892564029572	2.74622514265711	0	2.58935276071245	0	0	0	0	0	0	0	0	0	0	0	0
"Candidatus_Alysiosphaera"	0	0	0	0	0	0	1.71472446179958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Candidatus_Babela"	0	0	0	0	0	0	0	0	0	0	1.90127222547533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Candidatus_Berkiella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.59979247059492
"Candidatus_Koribacter"	3.70154917975217	3.63832067217011	3.71216677129391	3.4497219596126	3.45803217608228	3.40860216872631	3.67134269511541	3.6252651520754	3.81761469637654	3.55697407710948	3.63236215924989	3.57511473480982	3.77585443790933	2.98617804273076	3.73970639035412	3.40204529755152	3.30563777954767	3.32767961455483	3.27699345717582	3.35367447188812	3.32859490727479	3.34395227961828	3.45206124975709	3.25800738391282	3.29896170958598	3.2894909152563	3.34474288739367
"Candidatus_Nostocoida"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.866806353803	0	0	0	0	0	0	0	0	0	0	0	0
"Candidatus_Protochlamydia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49170750387212	0	0	0	0	0
