"SRR5865065"	"SRR5865066"	"SRR5865067"	"SRR5865068"	"SRR5865069"	"SRR5865070"	"SRR5865071"	"SRR5865072"	"SRR5865073"	"SRR5865074"	"SRR5865075"	"SRR5865076"	"SRR5865077"	"SRR5865078"	"SRR5865079"	"SRR5865080"	"SRR5865081"	"SRR5865082"	"SRR5865083"	"SRR5865084"	"SRR5865085"	"SRR5865086"	"SRR5865087"	"SRR5865088"	"SRR5865089"	"SRR5865090"	"SRR5865091"	"SRR5865092"	"SRR5865093"	"SRR5865094"	"SRR5865095"	"SRR5865096"	"SRR5865097"	"SRR5865098"	"SRR5865099"	"SRR5865100"	"SRR5865101"	"SRR5865102"	"SRR5865103"	"SRR5865104"	"SRR5865105"	"SRR5865106"	"SRR5865107"	"SRR5865108"	"SRR5865109"	"SRR5865110"	"SRR5865111"	"SRR5865112"	"SRR5865113"	"SRR5865114"	"SRR5865115"	"SRR5865116"	"SRR5865117"	"SRR5865118"	"SRR5865119"	"SRR5865120"	"SRR5865121"	"SRR5865122"	"SRR5865123"	"SRR5865124"	"SRR5865125"	"SRR5865126"	"SRR5865127"	"SRR5865128"	"SRR5865129"	"SRR5865130"	"SRR5865131"	"SRR5865132"	"SRR5865133"	"SRR5865134"	"SRR5865135"
"Agathobacter"	3.59473798836561	3.3708568710672	4.17837278226082	2.99143127662719	2.93279590098536	3.09729040951406	2.93524852798501	4.238906997749	3.27750645662209	3.53594257639917	3.26756047088232	3.81717862234141	3.26819005557268	3.06004294017458	2.96970606427426	3.34904865769187	3.64908523913491	3.47702921068367	3.08242263304916	4.12813619739218	3.85476882632097	2.83376659394239	3.81995977735284	3.92213677610204	4.52508378272852	3.68687321231607	3.76674321690655	3.33008519508263	3.84206021550016	3.26978904481714	2.34813077704384	3.81546801706616	3.83032793101311	3.57302722523807	4.24720915133313	3.8422396385942	3.73589751676191	3.7614051761617	2.82817142418517	3.55413947360621	3.42399581076943	3.85454668926257	3.98126346362126	2.51914446582039	2.97299323716034	3.52898613591481	3.58047359661461	3.69733972056434	3.83802365734605	4.19424682808672	3.26336477508633	4.12558154909668	4.13660653261681	3.65633250712126	4.38161881397431	3.88743529877392	4.02269357175484	4.24152485325677	3.44445476008965	3.84716274264784	2.89206779884019	2.54190900674599	3.97437977254301	3.76056629971128	4.45933818687897	4.15959560844754	3.96211767348527	4.18553461448296	3.49327190347053	3.45602273916941	4.13697841273975
"Aggregatibacter"	0	0.872786017704012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85892283820166	1.25325246211526	0	0	0	0.403513578521675	0	0	0	0	1.44050118548084	0.628470504798937	0	0	2.18515919544866	0	0	0	0	0	0	0	0	0	2.20510856387517	2.11961740275974	0	0	0	0	0	0	0	0	1.93925700993067	0.91645821798066	0	0	0	0	0	1.67634080132144	0	0	1.06695259812667	0	0	0	0	0	0	0	0	0
"Akkermansia"	3.01845598004745	3.35628001924275	2.0415986867312	3.90269491947661	4.00450516774176	2.20052506017004	2.1881895273229	1.95581021020223	0	2.69799389500603	4.57083265473024	2.33384304337052	1.51818997348706	1.59792405497086	4.45292298120716	4.63869609171669	2.0340514204075	1.60674622654739	3.72994780954318	1.85697508136311	2.05690223109363	3.36509964726844	3.38602828841046	1.537673461108	0	2.93380982287885	3.56949571864375	3.71969107357405	4.22916288373765	2.24257041030645	2.15874170142635	3.55017939696176	2.14002781724111	3.72367819227535	3.14982025659767	3.80991450839335	1.90331720140933	1.80535903841345	4.61231476129279	4.31386668447437	1.85963569464876	2.84490927814148	2.4072708241617	3.29967184578339	1.99654360250102	1.57783879877926	2.24509824198301	1.76767676714802	1.84720073733423	1.63922345672204	3.28231275591245	2.39193008023167	1.91417961105689	3.99787393288913	1.81897267205838	2.51412524874057	3.07634622831218	3.1419739263658	2.84254768431162	1.41979369354642	3.89966126227552	3.27949584962728	2.16233201892733	2.12918876002579	2.25980713423794	2.20139738785289	3.19178670730118	3.81142128370985	3.0363528915283	2.05236331287623	3.86031658846945
"Alcaligenes"	0	0	0	0.77473861335022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alistipes"	3.41726326985723	2.896485837496	3.75693221058278	3.08836239643764	2.66219316976278	2.36282842652413	2.38592659136528	3.48279665381557	1.76593518769208	3.13725904805513	3.71496514484444	1.76084461196886	3.32909523539576	2.80266202687321	3.28287921316413	3.9311470498035	2.60456134016676	3.46204834813915	3.50281403514114	1.51750397223359	2.97048198663497	3.56198855464264	3.60474383617588	2.92267229674215	3.25516407990653	3.48138704427945	3.37480185267072	3.78472471024182	1.65879697415717	1.98466264652729	4.37795124332882	3.52399712550974	4.02592305238303	3.63742113557199	3.048332136446	3.39628736496098	2.78965674223643	3.08957592489236	3.25469834569637	3.52155625915898	2.30022699542596	2.19500143789956	2.3222100918018	2.55420666038641	2.4496207252052	1.89806695619288	3.62259874996657	3.02287850106475	3.20473994297322	3.76637744029258	3.51920074947623	2.65102396607991	3.4318947194467	3.82023017299337	2.66212181259088	2.45078525804713	3.44959297307791	3.02466805585712	3.4683754462399	3.75211209025367	1.89444000571282	2.53294935256114	3.56210435939419	2.2542747918911	3.19978844143521	3.37816114739538	3.49889894054772	2.76069034230371	2.84838970059015	3.16664843798183	3.62556619879463
"Allisonella"	2.29533952059426	2.03957915470184	0	1.94289140272808	0	2.2934166990364	0	2.40179307715249	0	1.75537461811887	1.40951760158814	0	1.98089539475166	2.65943995930955	2.77037663532981	0	1.79191480282371	3.16085713377776	2.01396473278383	0	1.41682281063959	1.2358722345136	2.13180632110442	2.6170255228791	0	0	0	0	0	0	0	0	1.58890047954576	2.61957325571244	0	1.75531785630884	1.85077883190696	2.86856651746666	0	2.1283382127432	1.96640583246117	2.59981318180244	2.53592809247176	3.13638288550728	2.79654346339385	2.67229825909054	0	1.98122685499401	2.2471398631412	2.21841445108437	0	0	0	0	0	0	2.00684904717398	0	0	2.88543795330572	0	2.21631886351349	0	3.16972913030585	1.38239868984802	0	0	0	1.94958861866476	0	0
"Allobaculum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.766618526023563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40047875082364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alloprevotella"	1.45783569503407	0	1.67482203193585	2.90358672312479	2.00213348484984	3.61790598982988	1.70150866845765	0	1.73179303314656	3.74713573481402	1.0930242154267	0	0	3.96290933451192	1.49508163444528	1.35799144305014	2.13852887515132	3.81379022762088	0.804991734192921	0	0	0	2.9156409737931	1.32951409836831	1.96476691043235	1.27693909074744	1.59282534296021	2.09907025869916	1.69486636021537	3.82564759182877	0	0	3.88007230952913	1.75917899085464	1.48074642158013	2.72554427046607	3.73427761354285	4.15619952899649	3.23760131919044	2.12103235423418	3.95461168797738	1.64139827190729	1.24982335377055	0	4.19868170109476	0	0	3.70415847736236	4.13347695539105	1.31809830868012	3.06792536903492	1.93925700993067	1.13106878828835	0	0	2.02824083101312	3.95844870460652	1.74798769742324	0	0	0	0	1.51945526024357	3.43945365743064	3.55774599885756	1.59017308998269	3.30458465946898	0.695382478791217	1.5622962751039	2.7273470116832	0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"	0	0	0	0	0	0	1.02711743777369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.883104304894212	0.579317862242869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alloscardovia"	0	0	0	1.08437371085176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.472742969514944	0	0	0	0	0	0	0	0	0	0	1.42829870619992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09054768819313	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anaerococcus"	0	0	0	0	0.734150476846338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.627644799439004	0	0.559492921866821	0	0	0	0	0.165659650913267	0	0	0	0	0	0	0	0	0	0.985610337863032	0	0	0	0	0	0	0	0	0	0	0	0	0.583587931112568	0	0	0	0	0	0	0	0	0	0	0	0.839696421898498	0	0	0	0	0	0	0
"Anaerofilum"	0.715711526271396	1.4687543547172	0	2.37567739665114	0	2.10858628743747	0	1.13230432214361	0	1.00944890843048	1.70200676619969	0	2.32741926048642	0	0	0	2.32881021437899	0	0.93898503322339	0	0	0	0.747945407616904	0	1.57752722131983	1.17841904502905	0	0	0	0	0	0.464493072124231	1.1076989433913	0	0	1.66601384399976	1.89778378365049	0	0	0	0	0	0	0	0	0.596202987043105	0	0.657321899881988	0.749940980991756	0	1.10322145713003	0	0	0	0	0	0	0	0	0	0	0.968315626970503	0	0	0	0	0	0.950254534446297	0	1.77956539947548	0
"Anaerofustis"	0	0	0.611339038834513	0	0.789500923158524	0	0	1.0322146076654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.332280490591775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18762869103219	0	0	0	0	0	0	0	0	0	0	0	0.993348278194267	0	0	0	0	0
"Anaeroglobus"	1.37403563625792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81569640024597	0	0	0.610204546595438	0	0	0	0.332280490591775	0	0	0	1.1186390138761	1.47516193160588	1.4351845716083	0	0	0	0	1.67969404423951	0	0	0	0	1.53922816638518	0.998555616075759	0	0	1.41769324838433	1.26638178582051	0	0	0	1.34746062023262	0	0	0.8127713522771	0	0	1.6359984823797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anaeroplasma"	0	0	0	0	1.37742313640146	0	0.803317037089926	0	0	0	0	0	0	0	0	0	1.06090586701158	0	0	0	0.861996510342024	0	0	0	0	0	0	0	0	0	1.31589081530648	0	0	0	0.789723340535712	0.847952248578579	0	0	0	0	0	0	0	0	0	0	0	0	0	0.774547531149273	0	0.932261771335455	0.365150257853351	0	0	0	0	0	0	0	0	0	0	0.839696421898498	0.961915349356801	0	0.998845441471218	0.695382478791217	0	0	0
"Anaerosporobacter"	0	0	0	0	0	0	0	0	0	0	2.50883873152482	0	0	0	2.73879220837827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anaerosporomusa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95188885277629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
