"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"Aspromonas"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	11	3	1	4	5	3	0	3	8
"Asticcacaulis"	3	2	2	7	7	0	18	64	4	41	18	16	8	16	10	12	11	19	18	19	22	14	11	11	36	25	30
"Azohydromonas"	5	5	3	0	0	0	12	15	7	16	9	3	0	3	4	3	0	0	0	2	0	0	2	0	0	0	0
"Azonexus"	0	2	0	0	0	0	1	0	0	2	0	2	2	0	0	0	0	5	0	0	3	1	0	0	0	0	0
"Azospirillum"	7	15	7	0	0	0	6	9	4	17	5	9	5	8	13	5	0	10	11	18	1	3	2	135	7	4	14
"BRC1_genera_incertae_sedis"	0	4	2	15	12	6	12	13	6	6	7	14	12	2	3	4	18	20	19	12	24	11	7	17	12	9	10
"Bacillariophyta"	10	24	17	0	2	0	46	50	131	30	66	49	20	12	45	16	3	6	5	3	0	1	3	2	3	0	0
"Bacillus"	216	703	285	342	470	204	743	604	603	706	662	626	474	96	872	128	454	589	471	254	647	460	307	425	386	386	377
"Bacteriovorax"	2	0	0	0	0	0	0	0	0	0	3	2	0	0	2	0	2	3	5	3	0	0	0	2	5	2	8
"Bauldia"	5	14	6	34	45	40	14	13	13	14	17	10	6	1	16	6	38	27	39	29	36	37	26	32	37	39	31
"Bdellovibrio"	44	56	48	9	10	12	186	130	91	127	197	180	166	90	93	100	33	44	42	23	18	38	22	106	48	41	50
"Beijerinckia"	8	9	0	0	2	0	13	16	7	6	7	5	6	0	5	3	0	0	0	2	0	0	0	0	0	0	3
"Belnapia"	16	23	16	0	0	0	14	18	10	7	6	8	6	2	11	4	0	0	0	0	0	0	0	0	0	0	0
"Blastocatella"	26	47	13	2	4	2	97	67	69	64	97	101	37	26	48	24	1	11	11	5	8	6	6	8	6	13	5
"Blastochloris"	3	4	3	0	0	2	3	3	7	2	4	4	7	0	2	0	0	0	2	0	0	2	0	0	2	2	1
"Blastococcus"	107	175	106	2	0	6	143	98	87	87	124	112	77	17	108	58	5	6	6	2	2	3	3	4	2	2	6
"Blastopirellula"	0	0	0	4	4	0	0	0	0	2	0	0	0	0	0	0	3	6	4	0	2	1	5	4	4	2	4
"Bosea"	2	6	2	4	7	4	7	11	17	16	26	18	10	36	6	22	13	54	23	30	20	19	17	52	18	16	44
"Bradyrhizobium"	67	118	58	129	144	160	199	247	122	135	198	174	167	27	197	37	144	185	174	114	155	136	104	169	151	150	177
"Brevibacillus"	78	106	71	58	51	26	99	106	113	72	78	82	64	15	101	35	49	73	57	44	39	58	47	65	59	45	74
"Brevundimonas"	3	2	8	0	0	0	2	2	20	0	12	3	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0
"Bryocella"	2	5	0	0	0	0	9	7	6	3	6	7	7	2	7	2	0	0	0	0	0	0	0	0	0	0	0
"Burkholderia"	32	70	32	4	16	5	127	194	66	92	196	127	116	22	118	58	14	23	31	10	10	9	15	12	21	17	22
"Byssovorax"	0	7	6	11	12	8	10	16	8	12	12	6	7	1	10	6	9	21	13	8	11	11	4	9	10	7	16
"Caldilinea"	0	0	0	2	0	0	4	2	4	4	6	2	7	1	3	1	0	3	1	0	2	0	0	0	1	1	1
"Candidatus.Koribacter"	1230	1619	1048	569	720	455	2216	2048	1933	1914	2172	2215	1716	353	2395	778	477	571	483	389	538	568	489	520	503	561	587
"Candidatus.Solibacter"	897	910	583	595	586	402	1524	1526	1112	1366	1540	1354	1159	255	1448	530	393	545	436	324	520	433	440	463	535	539	503
"Catellatospora"	3	6	5	10	2	3	6	8	10	0	7	9	5	0	4	1	8	8	6	4	7	6	5	8	9	7	6
"Catelliglobosispora"	3	0	0	14	13	5	0	0	0	0	0	0	0	0	0	1	16	8	12	10	12	15	9	13	17	16	12
"Catenulispora"	68	123	60	10	14	6	106	97	82	64	97	103	77	22	120	55	11	6	10	11	9	17	6	10	10	10	14
"Caulobacter"	3	3	2	3	0	3	7	15	3	4	14	15	6	14	0	10	9	19	15	14	10	9	8	8	40	10	18
"Cellulomonas"	9	9	3	0	0	0	3	0	3	3	7	2	5	0	3	1	0	0	0	0	0	0	0	0	0	0	0
"Cellulosibacter"	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	4	0	0	2	0	0	4
"Cellulosilyticum"	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	3	4	0	1	1	2	1	1	0	0
"Cellvibrio"	0	3	2	18	25	6	0	0	0	0	0	0	0	42	1	32	13	26	5	9	6	0	7	0	4	1	5
"Chitinophaga"	11	11	8	5	3	3	35	50	29	38	54	47	88	316	14	226	7	34	2	10	16	7	12	33	80	3	4
"Chlorophyta"	4	16	10	0	0	0	14	10	33	15	13	13	13	2	15	1	0	0	0	0	0	0	0	0	0	0	0
"Chryseobacterium"	2	3	0	0	3	0	2	2	0	5060	5	1079	0	181	0	136	0	15	0	5	0	1	0	1	26	0	4
"Chryseolinea"	3	8	10	4	4	6	20	56	52	61	46	43	36	15	28	12	1	4	8	4	4	3	5	4	10	10	7
"Chthonomonas.Armatimonadetes_gp3"	5	9	5	2	0	0	13	63	84	18	12	18	9	2	16	1	0	2	0	0	0	0	0	1	0	0	0
"Chungangia"	8	7	0	7	3	7	7	10	4	12	9	9	3	0	7	0	10	12	7	3	13	10	11	6	13	11	4
"Clostridium.III"	0	8	0	11	22	12	2	2	0	0	3	0	0	0	1	0	19	27	23	14	22	8	15	26	12	13	34
"Clostridium.XlVa"	8	6	6	15	13	20	6	5	0	3	10	5	2	0	5	0	18	20	19	18	23	13	11	18	14	17	19
"Clostridium.sensu.stricto"	42	75	46	187	102	62	78	63	65	63	77	71	59	13	107	33	80	121	108	82	67	72	65	107	109	83	136
"Cnuella"	0	3	0	0	2	0	2	2	0	2	0	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
"Cohnella"	120	164	82	45	67	32	125	123	120	103	124	115	102	28	187	45	53	78	73	64	63	73	61	80	63	70	85
"Compostibacillus"	17	17	19	0	0	3	31	16	23	18	18	21	16	4	11	9	4	1	3	2	3	0	5	3	4	0	2
"Conexibacter"	198	383	176	96	108	93	375	450	332	314	403	347	352	50	442	171	142	129	130	109	150	165	107	133	150	112	124
"Coxiella"	0	2	2	17	12	6	0	3	7	3	3	0	2	0	5	0	12	14	14	13	9	13	11	18	17	17	18
"Croceicoccus"	0	2	0	0	0	0	3	4	0	0	2	3	0	0	0	2	1	0	0	0	0	0	0	1	3	1	2
"Cupriavidus"	0	10	0	18	24	9	7	12	0	72	6	30	6	42	3	40	23	54	30	41	35	27	33	97	27	27	36
"Dactylosporangium"	39	32	21	11	15	7	27	28	43	27	22	26	29	5	36	17	12	20	7	10	25	10	11	24	12	8	4
"Deinobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	4	0	3	0	0	2	0	0	1	2
"Deinococcus"	3	7	8	4	0	0	16	41	5	4	13	14	2	44	3	26	16	47	33	22	5	10	15	17	14	6	59
"Desulfitobacterium"	0	0	0	8	9	2	0	0	2	0	0	2	0	0	0	0	6	3	5	4	0	4	2	5	7	6	6
"Desulfosporomusa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	2	1	2	2	0	1	0
"Devosia"	28	33	22	0	4	3	41	47	14	26	43	32	19	7	10	16	9	23	19	11	13	10	8	22	24	14	15
"Dokdonella"	0	4	2	7	4	8	8	11	11	13	16	10	14	8	5	7	16	10	11	9	12	22	20	16	60	20	16
"Domibacillus"	0	0	0	17	7	8	0	0	0	0	0	0	0	0	0	0	8	9	8	10	10	6	7	10	10	5	7
"Dongia"	9	13	8	2	4	3	41	44	61	45	59	56	91	12	28	19	1	6	0	0	3	0	0	2	2	2	0
"Duganella"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	3	5	3	3	2	0	0	0	0	0	2
"Dyadobacter"	20	23	16	0	0	0	21	13	11	134	48	58	9	357	3	229	9	28	23	27	11	4	10	10	37	5	43
"Dyella"	4	2	0	8	6	2	7	16	6	8	15	12	5	5	7	3	8	6	7	6	4	14	9	4	14	11	7
"Edaphobacter"	46	25	20	6	6	2	37	36	12	38	45	34	29	3	14	13	11	8	11	6	3	9	5	13	11	6	12
"Effusibacillus"	0	0	0	9	2	3	0	0	0	0	0	0	0	0	0	0	7	9	7	7	7	6	6	6	13	9	6
"Ensifer"	0	3	0	2	3	3	0	0	0	0	0	0	3	0	3	0	0	4	3	2	6	3	0	3	3	1	2
"Erythromicrobium"	3	0	2	0	0	2	7	7	4	2	7	2	2	0	2	0	13	6	3	3	4	10	6	2	6	8	5
"Falsibacillus"	57	61	54	23	14	8	74	70	68	67	85	73	58	12	86	23	16	25	18	16	24	24	18	17	19	20	19
"Falsochrobactrum"	0	0	0	0	0	0	3	4	3	3	0	2	0	129	0	93	0	0	1	0	0	0	0	0	1	0	0
"Fervidicella"	0	0	0	10	5	4	0	0	0	0	0	0	0	0	0	0	4	4	6	4	1	2	5	6	3	4	4
"Fictibacillus"	2	2	2	133	142	70	3	2	0	7	0	2	3	0	3	2	145	171	138	114	153	170	127	153	164	138	184
"Filibacter"	16	24	18	0	0	0	30	29	28	24	28	34	18	4	43	10	0	0	1	0	0	0	0	0	0	2	0
"Filimonas"	0	3	0	0	0	0	3	8	0	14	13	10	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0
"Filomicrobium"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	3	3	0	3	0	4	2	4	1	4
"Fimbriimonas"	3	5	5	0	0	0	21	14	16	18	19	21	16	18	20	18	3	14	10	6	3	1	8	3	12	7	9
"Flavihumibacter"	0	0	0	10	6	14	0	0	0	0	0	0	0	1	0	0	19	5	18	9	8	14	19	12	5	9	15
"Flavisolibacter"	164	311	179	19	22	9	567	567	395	313	387	430	390	105	364	145	61	81	81	70	39	127	55	91	70	87	116
"Flavitalea"	10	20	11	4	5	0	25	27	43	15	19	25	28	22	4	27	6	9	7	9	15	8	5	33	12	2	11
"Flavobacterium"	13	12	10	61	61	167	0	0	0	7	0	0	0	31	0	24	93	108	114	73	72	105	87	70	69	65	76
"Fluviicola"	0	0	0	0	2	0	2	2	4	0	5	8	2	8	2	4	3	0	2	0	3	2	3	6	14	12	1
"Fontibacillus"	40	44	31	15	2	8	36	35	46	35	43	41	34	15	54	15	12	17	11	11	20	4	19	4	10	12	6
