"SRR5865065"	"SRR5865066"	"SRR5865067"	"SRR5865068"	"SRR5865069"	"SRR5865070"	"SRR5865071"	"SRR5865072"	"SRR5865073"	"SRR5865074"	"SRR5865075"	"SRR5865076"	"SRR5865077"	"SRR5865078"	"SRR5865079"	"SRR5865080"	"SRR5865081"	"SRR5865082"	"SRR5865083"	"SRR5865084"	"SRR5865085"	"SRR5865086"	"SRR5865087"	"SRR5865088"	"SRR5865089"	"SRR5865090"	"SRR5865091"	"SRR5865092"	"SRR5865093"	"SRR5865094"	"SRR5865095"	"SRR5865096"	"SRR5865097"	"SRR5865098"	"SRR5865099"	"SRR5865100"	"SRR5865101"	"SRR5865102"	"SRR5865103"	"SRR5865104"	"SRR5865105"	"SRR5865106"	"SRR5865107"	"SRR5865108"	"SRR5865109"	"SRR5865110"	"SRR5865111"	"SRR5865112"	"SRR5865113"	"SRR5865114"	"SRR5865115"	"SRR5865116"	"SRR5865117"	"SRR5865118"	"SRR5865119"	"SRR5865120"	"SRR5865121"	"SRR5865122"	"SRR5865123"	"SRR5865124"	"SRR5865125"	"SRR5865126"	"SRR5865127"	"SRR5865128"	"SRR5865129"	"SRR5865130"	"SRR5865131"	"SRR5865132"	"SRR5865133"	"SRR5865134"	"SRR5865135"
"Cetobacterium"	100	3	17	5	41	37	4	13	43	17004	4	6	12	25	7	8	18	11	15751	11	10	5	260	7	3	56	2	19	110	323	268	10	37	73	0	19	1536	9	100	5	10	38	13	838	794	4	7	662	11	178	20	5	1	8	9	5	5	7	7	2	32	49	33	3	4	2	8	2	5	6	5
"Christensenella"	2	13	0	3	0	0	0	109	0	0	15	0	8	0	0	0	2	1	7	0	6	8	2	0	13	0	0	0	0	0	8	0	0	4	9	0	0	0	0	0	2	0	0	0	0	0	8	0	14	25	13	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	5	3	0	0
"Clostridium.IV"	31	324	49	3676	48	738	6	148	0	241	140	0	2788	0	29	72	69	35	31	7	838	160	35	13	1208	80	0	5	0	0	5	70	207	91	294	98	74	6	666	42	36	4	15	2	7	0	226	35	89	539	25	38	83	45	27	11	26	105	54	8	863	34	54	114	3759	96	1084	40	63	3016	432
"Clostridium.XVIII"	1	0	12	5	304	0	1483	0	0	5	2	0	43	0	0	34	35	1	2	113	18	0	0	0	32	0	7	1	2	0	2	7	0	30	35	9	0	0	0	45	0	0	8	26	0	1	53	3	0	35	27	17	106	78	41	77	0	16	0	0	62	13	19	10	11	0	14	96	0	0	9
"Clostridium.XlVa"	307	684	143	87	247	32	30272	459	677	67	267	401	183	202	802	441	15	229	120	2691	503	333	479	54	68	103	1186	612	444	478	811	606	66	200	64	1696	121	17	4692	1184	48	37	39	521	234	23	194	1544	57	1528	157	48	48	3924	285	618	60	91	297	699	2414	1301	141	29	14	181	132	189	274	71	174
"Clostridium.XlVb"	928	361	1413	335	150	438	86	85	1490	182	293	1213	225	429	2191	1961	33	718	399	3	437	178	116	303	931	541	1863	1430	833	1282	367	638	381	641	1001	1015	1546	1319	5106	2015	299	561	1010	1373	784	76	1230	1253	636	2568	1936	157	289	2728	519	363	220	984	396	4033	7285	3676	970	882	295	778	637	1643	64	58	756
"Clostridium.sensu.stricto"	90	6	0	257	16	104	4	8	0	725	6	2	1099	24	1	26	1556	68	361	8	63	1814	8	176	14	7	3	0	1	0	0	92	43	398	3	3	142	332	38	105	11	6	942	10	0	6	11	0	2	10	1	200	68	6	5	620	130	7	65	10	100	365	165	1082	5	60	84	17	8	85	37
"Collinsella"	265	257	7	406	6532	606	5	1398	0	0	435	0	2377	1218	416	1942	2960	1070	739	636	0	0	3293	749	0	0	0	0	0	0	0	0	0	0	0	0	410	0	0	0	0	1610	1121	0	0	561	442	361	473	2429	1337	2336	907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0
"Coprobacillus"	0	0	0	0	0	6	7	2	0	0	70	0	0	0	0	43	0	0	3	101	0	11	1	0	10	0	0	0	0	0	0	0	0	0	0	3	7	0	7	6	0	0	0	0	0	0	13	0	0	4	30	0	0	6	4	73	0	0	0	0	159	50	28	0	0	0	0	8	0	0	0
"Coprobacter"	0	0	3	0	0	9	0	3	0	0	0	0	0	0	0	354	0	0	0	0	0	28	3	0	0	114	0	0	0	0	2	0	26	2	61	0	5	0	0	0	0	0	0	0	0	0	9	45	144	0	2	0	0	0	0	0	12	71	0	98	0	0	228	0	0	0	9	0	0	0	0
"Coprococcus"	174	1221	758	670	2479	2774	5	584	51	539	254	368	1151	364	123	466	417	3036	609	4	524	2014	107	413	640	1029	576	305	2	68	127	614	359	877	1871	348	2063	630	181	304	299	445	870	10	196	279	841	292	335	216	486	857	1683	1136	648	281	290	3075	1458	419	7	7	1545	1734	446	441	506	162	1623	2489	772
"Corynebacterium"	0	1	4	0	5	0	5	0	2	2	0	0	0	0	2	0	2	30	0	0	0	0	1	1	0	0	2	5	0	0	0	0	0	0	2	0	4	0	0	0	0	0	3	0	2	0	0	1	0	0	1	3	0	6	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
"Desulfovibrio"	130	2083	0	916	4	17	0	896	0	0	336	0	28	864	836	308	2	857	62	0	457	587	1640	1	200	481	118	68	0	2	0	513	1142	16	459	283	90	0	1703	183	323	138	221	72	136	195	6	573	1374	3	249	1	0	2	2	160	761	419	87	3	0	1447	330	0	0	0	228	192	878	218	2
"Dialister"	50	30	23	26	42	7442	13	19	9	15	13	19	6582	54	21	500	30	11426	36	9	2201	42	28	8944	1572	28	49	68	522	579	36	94	196	247	61	57	1702	3289	8256	9327	5025	730	2316	4674	7857	12	5	3972	8524	18649	25	65	13	4013	14	24	5465	130	11	137	11	14	16	14	4152	4103	5785	25	12	5	3320
"Dorea"	374	303	977	501	2480	894	1306	2214	571	641	428	1225	759	333	257	2637	1197	499	333	126	396	505	1095	730	1252	140	670	538	352	311	112	136	517	674	862	151	1863	664	263	1857	148	381	550	612	295	644	1130	577	596	1868	1211	1865	902	1081	972	753	271	606	215	625	650	126	540	1614	992	892	311	2135	593	266	313
"Eggerthella"	0	0	1	0	521	2	305	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	1	4	7	0	0	0	0	0	11	0	0	1	5	2	0	0	0	0	0	0	0	0	54	0	14	69	21	0	0	0	0	0	0	1	4	0	30	4	5	0	0	0	0	0
"Eisenbergiella"	12	14	10	13	2	0	0	17	0	19	36	0	92	1	7	8	35	4	8	0	24	260	2	1	5	0	0	5	0	0	2	0	2	0	7	0	0	0	21	0	0	0	0	1	0	0	9	22	48	14	14	2	9	243	116	24	7	23	10	0	648	323	2	0	2	8	15	25	42	8	41
"Enterococcus"	19	34	1	5	95	3	77	38	2	34	7	0	51	7	5	24	24	67	5	15	11	7	12	12	154	16	16	0	0	10	2	64	46	111	11	16	17	13	1	97	2	9	12	3	0	0	12	22	29	72	68	113	9	37	0	127	3	14	4	56	0	13	255	50	23	13	69	16	16	13	8
"Escherichia.Shigella"	22856	8768	51	8944	127	311	2720	56	75	35445	2762	253	1282	2367	285	10731	314	16435	16931	469	1627	14594	350	88	11922	2952	2549	20090	719	191	7	7027	22366	15035	1710	9552	466	56	1311	16032	77	6299	4716	1163	358	581	13019	5569	13141	87	659	248	19	12672	1404	701	2662	2002	2261	198	2037	14789	71	147	133	4285	4744	268	134	3910	52
"Eubacterium"	0	0	0	0	3	0	0	46	0	3	0	0	6	0	0	0	77	4	2	0	13	5	4	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
"Faecalibacterium"	6864	8979	13857	4724	171	8448	138	911	6294	3378	4783	5121	3606	262	1602	2761	6590	5726	3717	7807	10313	3982	2504	7049	8977	1763	54	3601	6419	1929	736	6209	3796	8064	11710	415	7525	4037	348	7471	2636	1430	4815	1335	551	4910	14925	2004	3083	8929	8408	8585	15478	1572	4388	150	4847	9310	3012	5067	631	641	9182	37323	9227	11164	3903	11556	3337	4637	8808
"Falsiporphyromonas"	2	27	0	7	77	3	47	20	5	1	1	0	3	8	8	17	27	4	3	7	18	27	113	0	6	29	11	0	0	5	103	18	52	14	14	15	7	7	10	13	3	3	12	1	0	0	3	2	23	112	1	116	6	9	11	40	11	31	24	16	1	13	5	42	23	7	100	18	18	20	15
"Flavonifractor"	3	5	350	8	205	14	12	364	464	6	11	735	4	3	3	86	2	107	33	337	16	322	75	131	23	5	53	2	197	0	8	5	15	58	21	122	11	31	32	147	5	1	3	27	4	196	53	108	4	352	14	57	96	761	151	153	63	3	2	151	232	1271	5	86	25	74	15	38	44	3	235
"Fusicatenibacter"	352	371	558	252	22	187	713	326	137	248	325	620	134	78	30	220	272	24	104	112	73	136	241	105	892	97	130	468	261	130	56	7	140	505	445	8	54	79	31	6	54	193	367	71	59	56	437	17	42	489	700	357	2397	201	1691	4	250	697	704	790	4	3	865	1022	1520	788	296	953	214	137	687
"Fusobacterium"	4496	536	4	676	1259	2	80	46	142	15	331	65	17	100	28	725	8	427	90	800	743	101	249	274	7	38	429	332	744	432	1000	1630	254	227	24	62	60	4	1136	40	8	104	108	975	73	3	4384	956	66	19	45	481	22	31	0	774	0	47	177	21	15807	24239	302	5	3	3	793	423	1614	1104	3
"Gemella"	27	3	0	15	33	5	314	19	21	28	0	4	4	45	30	8	0	679	30	0	3	103	2	70	4	17	71	119	162	56	8	118	30	119	11	2	8	3	5	82	4	85	47	55	17	3	24	28	4	20	0	275	12	12	10	2	0	38	2	17	3	11	10	16	9	6	9	363	7	18	4
"Gemmiger"	48	1723	1430	665	18	692	10	532	112	646	1467	615	1424	47	887	6018	1634	346	305	6	998	1161	1528	881	20	437	2	1295	367	126	8	672	825	6	2293	85	1020	750	278	2559	109	192	1323	9	16	461	1366	964	1958	2715	2412	2040	1449	2503	6	7	630	2409	109	7	7	2	1863	1044	1182	1019	840	2526	467	301	1681
"Granulicatella"	2	3	0	2	12	0	30	0	2	5	0	0	0	7	6	5	0	37	9	0	0	7	0	8	0	3	8	51	7	7	0	5	2	11	0	0	0	2	0	18	0	8	0	8	0	0	0	6	1	2	0	14	5	10	0	2	0	4	0	6	3	4	0	2	0	0	6	29	2	2	0
"Haemophilus"	138	19	0	4	2	4	1	2	153	8	39	3	5	12	0	5	0	270	737	0	7	2	0	95	0	34	2	4	7	14	27	303	264	131	34	5	139	0	1	44	0	64	260	74	6	2	3	64	16	2	109	1217	42	2	5	11	0	23	7	12	2	3	490	10	0	5	83	88	0	6	8
"Helicobacter"	7	24	2	10	99	6	54	36	5	1	5	3	6	6	9	24	19	2	3	7	12	11	6	0	4	15	19	0	0	8	17	3	45	22	9	24	7	6	4	15	3	7	21	3	2	2	3	2	18	90	3	85	4	17	8	26	11	33	5	17	3	6	11	34	13	10	75	11	18	16	10
"Holdemanella"	123	663	0	116	7	1113	2	69	686	367	1414	4360	349	291	10	2	264	602	1262	2	51	327	76	341	695	126	60	0	11	5	15	8	625	67	13	2	539	80	27	0	12	303	335	3	77	242	3	154	285	923	0	210	1	1	6	2	166	10	356	398	156	56	1044	8	10	630	7	7	449	43	0
"Holdemania"	1	0	143	15	13	0	0	33	0	2	6	0	31	0	0	0	9	12	8	0	10	8	5	0	16	2	0	3	0	0	2	5	10	3	9	12	3	2	2	43	3	0	0	0	0	2	28	5	8	0	26	22	19	10	0	8	0	5	3	8	67	44	10	19	7	11	0	31	4	4	7
"Howardella"	26	71	1	154	3	25	0	114	0	42	0	0	106	69	20	0	520	43	2	0	0	0	20	7	395	35	0	0	1	4	31	30	36	95	0	61	0	34	0	0	48	0	0	1	2	29	87	3	22	119	91	0	0	0	0	0	44	0	4	0	0	0	7	0	81	0	37	409	0	48	0
"Hungatella"	35	48	31	232	58	51	22	6	3	58	95	29	79	2	62	104	28	51	20	5	165	35	17	6	18	38	31	73	71	23	38	150	23	19	171	377	219	63	212	110	39	23	20	11	8	2	46	22	56	142	58	12	18	452	38	14	12	139	42	10	74	57	30	74	256	6	193	124	144	113	15
"Hydrogenoanaerobacterium"	3	9	0	6	0	0	0	0	0	1	7	0	0	0	0	0	0	0	6	0	5	16	13	0	0	10	0	0	0	0	5	7	4	4	20	5	4	0	0	0	3	0	0	0	0	0	0	1	2	20	0	0	0	0	0	0	2	21	0	0	0	0	0	0	2	15	0	0	2	3	0
"Intestinibacter"	0	0	0	87	32	0	0	9	2	387	0	475	2	0	0	218	32	73	0	1911	2	2	1	2	0	2	23	1	10	4	0	0	331	0	5	2	0	7	0	8	5	5	4	7	0	1	6	2	5	12	1	4	64	1	17	46	0	4	0	15	0	3	3	7	2	14	0	99	6	172	4
"Intestinimonas"	16	335	84	116	102	36	3	169	0	77	38	2	77	111	910	39	281	13	51	0	79	57	396	3	84	35	5	620	1	0	5	202	141	18	51	111	293	4	1197	107	26	50	116	12	0	20	175	103	231	14	257	27	128	33	10	8	60	83	39	42	1134	83	29	10	31	123	83	408	61	32	4
"Lachnoanaerobaculum"	1	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	10	2	0	2	0	2	0	0	0	9	11	5	4	0	3	0	2	9	0	0	0	23	2	0	2	3	3	2	0	0	10	0	0	1	11	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	12	0	0	0
"Lachnospiracea_incertae_sedis"	1418	6538	6378	465	8057	425	17734	1722	0	3459	4932	1939	2251	159	380	2221	2956	970	5419	2008	2286	156	1218	179	1263	483	361	2051	4492	1232	2366	3425	0	1834	1393	310	956	1169	1591	4501	292	717	0	280	114	204	1000	2778	861	850	1212	1570	3205	2503	1765	2457	872	2046	3353	2149	3643	534	2520	1386	447	1339	956	1733	1143	1220	291
"Lactobacillus"	14	26	3	42	225	240	1631	43	14	94	15	18	102	68	637	2060	832	29	5	43	19	42	35	82	5	28	35	94	3	18	9	29	216	79	262	31	6	175	14	21	5	42	899	3	6	8	12	59	165	171	1	205	1	40	42	104	107	518	10	159	16	25	1743	73	27	54	124	19	26	36	13
"Lactococcus"	18	5	0	0	1	2	3	4	0	28	11	0	11	0	199	31	2	11	3	0	0	101	0	22	56	0	3	20	0	0	0	0	4	12	0	3	22	0	0	89	0	1	0	1	0	2	5	4	0	309	478	9	1	3	2	0	0	0	4	2	63	4	22	0	0	3	0	1127	3	2	0
"Lactonifactor"	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	255	0	0	0	2	0	1	0	0	2	4	2	0	0	0	2	0	3	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	19	0	14	0	0	0	0	5	0	0	0	0	0	0	17	0	0	3
"Leptotrichia"	17	9	0	0	0	0	0	0	2	1	1	0	0	5	3	0	0	12	14	0	2	0	0	0	0	3	0	63	7	4	0	9	3	18	0	0	4	0	0	8	0	7	116	2	0	0	0	13	0	0	16	334	1	0	0	0	0	0	2	0	1	2	0	0	0	0	3	7	0	0	0
"Leuconostoc"	0	5	0	0	1	0	0	0	0	21	0	2	0	0	0	0	0	9	0	1	0	0	3	30	0	11	0	2	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	3	4	8	0	1	2	0	52	0	0	0	0	7	11	0	3	72	0	3	0	0	21	0	0	0
"Megamonas"	0	0	2	0	17	3570	0	4	7	55	585	0	0	3	7	2	4	1	0	2	16	10	0	8	14	13	3	4	1	15227	87	9	5	12624	5	974	10	0	0	0	21	4	0	7039	10512	2	414	6182	3	1	5	0	2	6	15	17	650	0	3	10	0	6	2261	3	2	2	0	0	4707	0	7
"Megasphaera"	40	2346	22	9	24	19	7	35654	141	16	36	11	8049	15446	29	16	106	45	30	18	24	1465	23725	13033	7	362	31	1170	1080	2440	17	276	2500	45	10	142	33	5	107	11	4881	15590	9334	263	75	6918	15	4148	6186	19	10	1320	17	48	14	8	3446	10	31	34	25	34	5259	43	7	9	5	17	4142	26	24
"Methanobrevibacter"	174	4802	7	813	14	572	8	14	2	654	554	2	2567	3	732	5	7174	212	2	2	1772	1580	474	2	284	1743	2	3	0	13	116	584	3533	45	209	1057	1765	0	1241	0	25	6	47	0	2	4	69	58	165	4	4178	154	0	9	6	3	226	471	2666	0	1	5	0	5	548	0	2360	7	558	895	4
"Mitsuokella"	0	0	1	0	6	3	1	213	0	0	2	0	0	10011	1	2	116	0	9	1	4	0	0	3	0	6	0	0	0	2	0	0	134	0	0	0	5	0	0	0	4591	0	0	1	12	0	0	443	1059	1	0	0	0	0	2	2	2	0	0	2	1	2	0	0	0	0	0	0	246	0	2
"Mogibacterium"	3	134	0	55	9	24	4	2	0	4	74	0	8	145	244	4	0	346	195	0	0	24	6	73	45	0	2	30	3	4	6	6	7	13	102	4	87	0	58	5	22	222	54	0	0	49	0	2	0	0	247	163	3	1	7	0	0	96	141	0	0	0	0	152	20	0	74	435	44	0	0
