"SRR5865065"	"SRR5865066"	"SRR5865067"	"SRR5865068"	"SRR5865069"	"SRR5865070"	"SRR5865071"	"SRR5865072"	"SRR5865073"	"SRR5865074"	"SRR5865075"	"SRR5865076"	"SRR5865077"	"SRR5865078"	"SRR5865079"	"SRR5865080"	"SRR5865081"	"SRR5865082"	"SRR5865083"	"SRR5865084"	"SRR5865085"	"SRR5865086"	"SRR5865087"	"SRR5865088"	"SRR5865089"	"SRR5865090"	"SRR5865091"	"SRR5865092"	"SRR5865093"	"SRR5865094"	"SRR5865095"	"SRR5865096"	"SRR5865097"	"SRR5865098"	"SRR5865099"	"SRR5865100"	"SRR5865101"	"SRR5865102"	"SRR5865103"	"SRR5865104"	"SRR5865105"	"SRR5865106"	"SRR5865107"	"SRR5865108"	"SRR5865109"	"SRR5865110"	"SRR5865111"	"SRR5865112"	"SRR5865113"	"SRR5865114"	"SRR5865115"	"SRR5865116"	"SRR5865117"	"SRR5865118"	"SRR5865119"	"SRR5865120"	"SRR5865121"	"SRR5865122"	"SRR5865123"	"SRR5865124"	"SRR5865125"	"SRR5865126"	"SRR5865127"	"SRR5865128"	"SRR5865129"	"SRR5865130"	"SRR5865131"	"SRR5865132"	"SRR5865133"	"SRR5865134"	"SRR5865135"
"Angelakisella"	18	41	0	71	0	18	0	275	0	144	30	0	16	0	0	0	113	0	31	0	116	129	98	0	39	0	0	0	0	0	0	240	61	22	0	23	36	0	0	0	0	0	0	0	0	0	0	28	85	172	33	0	0	0	0	0	36	0	91	0	203	0	0	0	32	0	0	0	28	23	0
"Arcobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
"Asaccharospora"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"ASF356"	0	2	0	0	10	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
"Asteroleplasma"	0	0	0	22	0	0	0	0	0	142	0	0	8	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
"Atopobium"	9	0	5	0	0	0	92	5	0	15	0	0	0	11	38	11	0	146	21	2	0	16	20	0	0	0	3	201	27	0	0	3	13	11	4	0	0	0	11	53	0	9	12	0	0	6	0	12	14	0	23	61	0	4	8	0	0	0	0	0	17	5	0	0	4	0	0	22	0	0	0
"Bacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteroides"	35162	25097	98585	31115	37394	3938	2825	13656	24790	32945	43212	37431	12396	10895	37013	42125	7997	8482	37040	145060	8335	22834	136029	8945	8096	15250	56388	189165	128979	25287	91721	31184	32158	26354	17989	44009	8949	11950	18080	45616	2703	8366	7202	39566	2839	5825	64108	66943	6017	25099	19573	11136	124308	89716	56422	44416	11964	19063	31077	50974	144872	68877	46291	3677	19899	52528	18987	9754	14742	8855	73521
"Barnesiella"	4743	1705	0	61	0	0	8	161	1585	411	709	3888	582	0	12	0	151	109	1193	0	115	0	1154	46	65	42	0	0	54	3078	0	339	139	2438	384	159	0	514	0	0	35	77	107	27	46	0	673	2107	347	606	239	84	844	399	0	794	0	0	23	3261	14	218	44	60	32	27	91	140	1119	37	3544
"Bergeyella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
"Bifidobacterium"	36	9	216	104	8163	719	19879	3763	107	257	77	658	2488	31	278	818	8732	147	17	1551	0	11	8110	510	343	0	11	998	236	88	0	255	929	620	1154	156	47	97	119	3097	139	2951	2763	19	26	223	171	178	235	227	519	2669	3105	0	22	28	41	0	0	21	0	35	1438	10	616	2712	0	218	76	104	579
"Bilophila"	588	123	15	128	0	41	0	72	0	93	853	10	128	511	583	587	255	107	1233	0	30	71	2577	37	64	42	103	0	1129	331	0	282	925	342	88	305	0	80	563	0	42	0	16	169	62	36	377	513	1017	476	158	81	1174	1605	0	33	196	23	0	332	0	318	122	0	56	344	41	124	61	0	238
"Blastocystis"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Blautia"	1324	507	4556	661	101893	1636	45190	12275	1236	1984	2462	4112	1387	1245	2242	3331	5617	1879	988	11466	1992	1046	3270	2612	5865	747	1709	7304	7208	1196	315	906	2009	1870	1623	1737	1272	1093	3259	4477	717	1765	4590	1473	657	1395	3930	1959	1077	4006	9816	7474	7876	3750	3693	16229	1305	1694	811	4788	11748	2432	1034	5968	2592	2725	2349	17161	813	742	2929
"Brevundimonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bulleidia"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Butyricicoccus"	244	170	375	242	1541	572	135	281	354	527	261	261	720	98	118	1001	396	192	523	540	651	126	1608	519	328	85	359	507	555	67	34	135	199	252	148	329	605	660	111	407	47	271	566	577	384	473	492	144	213	714	652	514	1403	1147	305	684	431	228	34	177	803	338	599	2357	270	156	203	2439	104	136	102
"Butyricimonas"	860	280	0	472	0	116	3	63	0	1208	1955	0	229	331	152	574	19	636	6207	0	74	62	864	7	28	553	156	476	866	0	8	1416	1032	946	657	1075	1029	77	43	385	56	103	160	0	39	60	63	187	500	107	135	50	0	347	5	24	237	55	18	0	4175	1925	336	0	73	2	29	13	182	90	220
"Butyrivibrio"	0	0	30	12077	0	0	23	0	0	1954	0	0	48	0	19	0	0	18	10	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	3520	0	0	0	72	46	0	0	0	0	0	0	0	8	4016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3926	0
"CAG-352"	0	0	0	763	0	0	0	0	0	506	0	0	476	0	0	0	0	0	0	0	0	0	0	0	1464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	4726	0	1435	0	6	0	0
"CAG-56"	640	251	466	58	0	87	0	58	0	137	63	0	159	0	111	0	47	30	387	0	287	0	1197	96	255	0	0	447	0	47	46	0	0	485	131	0	153	123	0	0	43	43	84	0	0	33	344	0	21	549	714	0	1253	646	0	0	142	237	290	417	0	0	425	679	86	151	55	0	223	20	0
"CAG-873"	27	0	0	0	0	0	18	0	18	51	0	0	13	0	18	0	0	23	0	0	0	0	0	44	1928	0	32	125	0	0	0	0	0	31	0	0	25	16	48229	27	0	49	20	0	0	0	0	0	0	0	44261	39	0	0	0	48	112	33	0	0	10	0	46	0	0	0	35	0	0	0	0
"Campylobacter"	15	3	0	0	2	0	0	0	0	6	0	0	12	4	0	9	0	10	45	0	5	0	39	16	0	0	0	39	18	6	0	75	4	8	0	0	9	0	31	9	0	7	20	0	93	0	0	10	12	0	4	17	4	0	6	2	0	20	20	0	4	0	149	0	0	0	4	0	0	3	0
"Candidatus_Arthromitus"	0	0	0	0	0	0	6	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Candidatus_Methanogranum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Candidatus_Saccharimonas"	3	7	0	0	94	2	23	9	0	0	0	0	3	3	0	14	7	0	3	0	0	3	0	3	0	7	6	6	8	0	24	0	14	12	4	8	0	0	6	4	0	0	12	0	0	0	0	0	10	21	0	25	4	3	0	10	0	9	9	0	0	4	0	9	0	8	3	0	6	11	0
"Candidatus_Soleaferrea"	0	0	30	355	42	0	0	80	0	11	3	0	194	2	0	4	55	24	14	0	5	35	121	2	4	0	0	0	0	0	0	0	49	6	0	18	0	0	0	6	0	0	0	0	0	0	6	50	122	6	18	10	7	5	0	0	36	0	0	0	36	0	0	14	0	0	30	12	28	4	23
"Candidatus_Stoquefichus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	593	94	0	0	0	0	0	0	0	0	0
"Capnocytophaga"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Caproiciproducens"	0	0	0	0	0	16	0	38	0	0	0	0	0	0	0	0	0	18	0	0	0	0	56	16	0	0	0	0	0	0	0	0	0	0	10	0	44	0	0	0	0	0	5	0	0	0	15	0	0	0	191	0	15	0	0	0	8	0	0	0	0	0	15	0	0	0	8	0	30	0	0
"Cardiobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	4	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0
"Catabacter"	0	0	0	0	0	0	0	0	0	0	14	0	13	0	0	2	8	0	0	0	12	8	0	0	0	0	0	0	0	0	0	21	5	0	0	7	0	0	13	20	0	0	0	0	0	0	11	0	18	0	38	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	3	0	0
"Catenibacterium"	0	192	0	218	12	1203	0	1305	397	0	2086	1810	1252	1335	148	8	9	1872	199	0	32	89	212	938	0	10	0	0	685	351	0	135	96	280	234	27	1384	154	21	0	198	460	234	0	199	1446	0	220	557	0	0	193	0	0	0	0	39	11	27	136	0	0	0	0	0	0	0	0	514	48	0
"Catenisphaera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	11	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catonella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Caulobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Centipeda"	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
"Cerasicoccus"	0	171	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cetobacterium"	58	0	52	0	0	68	0	0	63	31708	0	0	20	22	0	0	0	35	24356	15	0	0	0	0	0	0	0	0	82	0	0	0	0	50	0	0	1894	0	0	0	0	112	38	0	0	0	0	0	17	0	57	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0
"Christensenella"	3	12	0	0	0	0	0	111	0	0	18	0	0	0	0	0	0	0	12	0	0	9	6	0	22	0	0	0	0	0	9	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Christensenellaceae_R-7_group"	598	1727	0	5937	32	1160	0	1973	8	2029	2189	0	5590	77	20	570	1024	1189	665	11	1240	329	1100	97	2407	86	0	0	0	0	19	113	484	615	949	12	6182	76	444	93	287	80	330	0	0	90	729	314	901	0	6360	342	495	97	0	0	876	480	158	0	0	0	0	397	649	0	792	791	590	3409	180
"Citrobacter"	1218	1361	0	0	0	0	0	0	0	0	0	0	43	232	0	987	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cloacibacillus"	464	47	0	0	0	0	0	0	0	0	175	0	93	49	13	0	0	0	22	0	30	0	102	0	0	0	0	0	0	0	0	0	0	14	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0
"Clostridium_sensu_stricto_1"	160	11	10	312	70	133	12	14	0	1683	9	0	1451	30	0	49	1780	120	677	11	43	2561	14	381	31	9	7	0	36	13	0	140	51	474	0	7	198	425	64	157	14	24	1677	32	0	0	16	0	10	15	0	290	114	12	8	767	164	10	83	15	272	426	214	1478	9	73	128	21	16	99	52
"Clostridium_sensu_stricto_11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridium_sensu_stricto_13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
