"C1.sm.bam"	"C2.sm.bam"	"C3.sm.bam"	"C4.sm.bam"	"C5.sm.bam"	"T1.sm.bam"	"T2.sm.bam"	"T3.sm.bam"	"T4.sm.bam"	"T5.sm.bam"
"Solyc00g007110.2"	0.673026020994006	1.21109032347884	0.903000993909004	0.931677702591852	0.932731734970621	0.354690153939281	0.659584477855108	0.315266490047392	0.608573690963013	0.826630670124478
"Solyc00g007120.2"	1.34894354420919	1.38626870673017	1.0606049775925	1.26505327418281	1.2780004663199	1.43970543938351	0.659584477855108	0.927705721668581	0.608573690963013	1.09402234961729
"Solyc00g007140.1"	0.284997510764479	0.446406831483151	0.33573733910721	0.198748500880882	0.583981306933828	0	0	0.496001395184529	0	0
"Solyc00g007150.2"	0	0.446406831483151	0	0.521312084030318	0.583981306933828	0	0.444553051114546	0.496001395184529	0	0
"Solyc00g007170.1"	0	0	0	0	0	0	0	0	0	0.258999022496285
"Solyc00g007190.2"	0.751091895528673	0.278200211277516	0.83454578403313	0.751483948156572	0.758016568376963	0.54728949613226	0.444553051114546	0.623243467210679	0.747463727753208	0.770341559936155
"Solyc00g007200.2"	0	0	0	0	0	0	0.444553051114546	0	0	0.258999022496285
"Solyc00g007220.2"	0	0	0	0	0	0	0	0	0.747463727753208	0
"Solyc00g007260.2"	0.455610330853233	0	0.33573733910721	0.198748500880882	0.461088880463895	0.680252775692172	0	0.496001395184529	0.608573690963013	0.705654882895141
"Solyc00g007270.2"	3.1308032565038	3.11716267027357	3.1630100209365	3.16589073474492	3.1261909567863	3.20136727137422	3.1824479810381	3.35740624964348	3.2972435338055	3.4129311650894
"Solyc00g007300.2"	0.455610330853233	0	0.33573733910721	0.521312084030318	0.679658889740153	0.354690153939281	0.444553051114546	0.496001395184529	0.403158760520572	0.420124669874008
"Solyc00g008570.2"	2.01294905243589	1.89316189919937	1.92931841454665	2.02069075971238	1.88984211682782	2.45704063146409	3.11664963240158	2.16454352788132	2.57152731495469	2.17204100678776
"Solyc00g008580.1"	1.81290304505886	1.76674849761968	1.77319875409488	1.78371966861544	1.79564595552247	2.2621571935682	3.02174211240875	1.98676417011098	2.37691355092076	1.99502670875391
"Solyc00g008680.2"	2.89575628518516	2.78437619289392	2.74340824046882	2.83692711361711	2.82823894920895	2.77791654596557	2.19352311630659	2.54115543274138	2.51851117163645	2.49827188873332
"Solyc00g009020.2"	2.16893094498211	2.14372470884947	2.14187110159328	2.21195520064704	2.23593244034004	2.28834641567632	1.60456749358032	2.29269139904992	2.44638265903594	2.28659282677656
"Solyc00g009040.2"	2.41614749852046	2.49852169200863	2.42640993446808	2.34199882508601	2.33944394090351	2.47577994666725	1.90980460952597	2.20393139375167	2.14690371372276	2.20196828511143
"Solyc00g009050.1"	0	0	0	0.198748500880882	0.289061541442611	0	0	0	0	0.258999022496285
"Solyc00g009060.2"	0	0	0	0.198748500880882	0	0	0	0	0	0
"Solyc00g009070.1"	0.874632377377886	0.446406831483151	0.33573733910721	0.868271612165871	0.758016568376963	0.993048246033776	1.64145555026299	0.927705721668581	0.937072028605144	1.14762022470268
"Solyc00g009080.2"	0	0.446406831483151	0.653133409713319	0	0.461088880463895	0.680252775692172	0.444553051114546	0.315266490047392	0.608573690963013	0.62961816387403
"Solyc00g009100.2"	0.284997510764479	0.278200211277516	0	0.43790869009435	0.289061541442611	0	0	0	0	0
"Solyc00g009110.2"	1.89713845336363	1.94480486600209	1.85115807352038	1.96975540745056	1.930243727048	1.86327921000813	1.06816849128789	1.82693068239699	1.59390128078704	1.71232737711238
"Solyc00g009120.2"	0.577783712567142	0.446406831483151	0.522807552272921	0.591249758842577	0.289061541442611	0.354690153939281	0	0	0	0
"Solyc00g009140.2"	0.673026020994006	0	0	0.334587479824386	0	0	0	0	0.608573690963013	0.258999022496285
"Solyc00g009760.2"	1.87622424651421	1.84580288194655	1.62142319476983	1.74920740334939	1.71654029590259	2.08274147969549	2.78085016995828	2.01451296972566	2.1516164890969	1.9537150611271
"Solyc00g010750.1"	0.874632377377886	0.862314101057728	0.33573733910721	0.521312084030318	0.583981306933828	0	0	0	0	0
"Solyc00g010770.1"	0	0	0	0	0	0	0	0.315266490047392	0	0
"Solyc00g011150.1"	1.78737829257897	1.84580288194655	1.76457421746686	1.85962404258177	1.81493467714481	2.43140432119673	3.08344183456599	2.15166864179778	2.54771470976001	2.04569084963765
"Solyc00g011160.1"	1.91709160431655	1.89316189919937	1.8366457391337	1.85260346574979	1.8021711813757	2.41904167949201	3.08408044596355	2.03207369564996	2.51242719563153	2.02278078530568
"Solyc00g011880.2"	1.39993941625143	1.23442740855072	1.17599633245211	1.27853207265979	1.29913048549112	1.29984357138616	1.23170650346216	1.48948233662689	1.57663323843135	1.62092247597992
"Solyc00g011890.2"	1.01178769095783	0.958000923104821	0.33573733910721	1.08013273835644	1.1814015400979	0.680252775692172	0	0.721529640488759	0.403158760520572	0.62961816387403
"Solyc00g012430.1"	0	0.278200211277516	0	0	0	0.354690153939281	0.444553051114546	0	0	0
"Solyc00g012440.1"	0.577783712567142	0.661843155426087	0.33573733910721	0.868271612165871	0.679658889740153	1.09227358326831	2.01882032814074	0.869225109620574	1.12194644026412	0.876454132496305
"Solyc00g013150.1"	0.284997510764479	0	0	0	0	0	0	0	0	0
"Solyc00g013180.1"	0	0	0	0	0	0	0	0	0.403158760520572	0
"Solyc00g014830.2"	0	0.278200211277516	0	0	0	0	0	0	0	0.258999022496285
"Solyc00g019730.1"	0	0	0	0.198748500880882	0	0	0.444553051114546	0	0	0.420124669874008
"Solyc00g019740.1"	0	0	0	0	0	0	0.444553051114546	0	0	0
"Solyc00g019750.1"	0	0	0	0	0	0.354690153939281	0	0	0	0.258999022496285
"Solyc00g019950.1"	0	0	0	0	0	0	0	0	0	0.258999022496285
"Solyc00g019970.2"	0	0	0	0.198748500880882	0	0	0	0	0	0.258999022496285
"Solyc00g020040.1"	0	0.278200211277516	0	0	0	0.354690153939281	0	0	0	0
"Solyc00g020540.1"	0.751091895528673	0.739406391237923	0	0.651471429679972	0.461088880463895	0.781907295243113	0	0.315266490047392	0.608573690963013	0.258999022496285
"Solyc00g021630.1"	0.284997510764479	0	0	0	0	0.54728949613226	0	0	0	0.258999022496285
"Solyc00g021640.2"	0	0	0	0	0	0.54728949613226	0	0	0	0
"Solyc00g022100.1"	0	0	0	0	0	0	0	0	0.403158760520572	0.258999022496285
"Solyc00g024150.2"	0	0	0	0	0	0	0.659584477855108	0	0	0
"Solyc00g024160.1"	0	0	0.33573733910721	0.334587479824386	0.289061541442611	0	0.444553051114546	0.315266490047392	0	0.258999022496285
"Solyc00g025290.1"	0	0	0	0.198748500880882	0	0	0.444553051114546	0	0	0
"Solyc00g026160.2"	0	0	0.33573733910721	0	0	0	0	0	0	0
"Solyc00g027120.1"	0.284997510764479	0.567348910982336	0.653133409713319	0.334587479824386	0.583981306933828	0.354690153939281	0.444553051114546	0	0	0
"Solyc00g027770.2"	1.4997964334644	1.51075028486097	1.38610407777631	1.35164764849332	1.3569741973119	1.45919100630367	0.910251913078478	1.17220647514718	1.12194644026412	1.29571586175121
"Solyc00g029190.2"	0	0	0	0	0.289061541442611	0	0	0	0	0
"Solyc00g030510.2"	4.98509258317531	5.06426235410528	5.09818428503856	5.0379635274936	5.13398098539062	4.89376158442888	4.727386423555	5.13280833019439	5.05634308589903	5.09070386748044
"Solyc00g030520.2"	3.08162379436593	2.86906076212317	2.89862360215426	2.92883910733873	2.88903827632724	3.03731936676145	2.60060913441857	3.0395651006209	3.08656893633391	2.83840309346506
"Solyc00g030820.1"	0	0	0	0	0	0	0	0	0	0.258999022496285
"Solyc00g042840.1"	0.284997510764479	0	0	0.198748500880882	0	0.354690153939281	0	0	0	0
"Solyc00g044350.2"	0	0	0	0	0	0	0.444553051114546	0	0	0
"Solyc00g044750.1"	0	0	0	0	0	0.354690153939281	0	0	0	0
"Solyc00g047700.2"	0	0	0.33573733910721	0.198748500880882	0.461088880463895	0	0	0.315266490047392	0	0.258999022496285
"Solyc00g050130.1"	1.71611409623597	1.68638390370583	1.76457421746686	1.66526142140073	1.6837833480384	1.6788103568497	0.659584477855108	1.3276921404416	1.62650476153969	1.41963955404869
"Solyc00g052430.2"	0	0	0	0	0	0.354690153939281	0	0	0	0
"Solyc00g053440.2"	1.04932086530786	0.739406391237923	1.01414857498342	0.960216523940826	0.978213483034707	0.54728949613226	0.444553051114546	0.801625910074328	0.747463727753208	0.537382659060561
"Solyc00g056680.1"	0	0	0	0	0	0	0	0	0.403158760520572	0
"Solyc00g057880.2"	0.284997510764479	0	0	0	0	0	0	0	0	0.258999022496285
"Solyc00g059100.2"	0.817240233767585	0.998947956000883	1.01414857498342	0.868271612165871	1.01938043040226	0.680252775692172	0.659584477855108	0.315266490047392	0.852534344056924	0.62961816387403
"Solyc00g059500.1"	1.11586602956251	1.25657415272007	1.20852506791288	1.25114271056833	0.978213483034707	0.781907295243113	0.659584477855108	1.06693980179658	0.937072028605144	0.921145438760225
"Solyc00g066350.1"	0	0.278200211277516	0	0	0.583981306933828	0	0	0	0	0
"Solyc00g066360.1"	0	0.278200211277516	0	0.651471429679972	0.289061541442611	0	0	0	0	0
"Solyc00g068970.2"	1.39993941625143	1.36994857992267	1.14083248729799	1.37351833411906	1.1814015400979	1.73277340505547	2.45140928555402	1.38856747463193	1.79385259875632	1.40594960340678
"Solyc00g068980.1"	1.95889268033172	1.91265903336867	2.02520511701499	1.95323227050704	1.930243727048	2.54199465078611	3.29203762041581	2.16454352788132	2.62195566786952	2.23822917772319
"Solyc00g071180.2"	1.70034224464328	2.04338123063307	1.89844193625147	1.97512631467875	2.00126523350684	1.71198569340703	1.41439794053964	1.76789010349573	1.67123472517273	1.61236066096539
"Solyc00g075030.2"	2.64041337230363	2.54203284185316	2.56357737646389	2.45716046350449	2.5657376705701	2.61568446488093	2.12372393053928	2.60429044547536	2.59410185187231	2.61059658607421
"Solyc00g075040.1"	1.95889268033172	2.05383708043521	1.98517608758232	1.81952585231333	1.76851809363489	2.33388026611995	1.49575714233958	1.82693068239699	1.69868439472986	1.78779939414627
"Solyc00g075440.1"	0	0.278200211277516	0.522807552272921	0.334587479824386	0.679658889740153	0	0	0	0	0
"Solyc00g075450.2"	0	0.278200211277516	0	0	0	0	0	0.315266490047392	0	0
"Solyc00g082150.2"	1.9499450471221	1.89316189919937	1.73762274618245	1.84905015440566	1.96720466098119	1.89931595297221	1.3502298723928	1.71766300647094	1.49974831235352	1.55710999319689
"Solyc00g084760.1"	0	0	0	0	0.289061541442611	0	0	0	0	0
"Solyc00g085070.2"	3.98830608742164	4.04702412966281	4.02525879179175	3.92248327824752	4.04231282868996	3.99332931871462	3.52711447653678	3.83858541243959	3.65892042479971	3.80531535340076
"Solyc00g090870.2"	0	0	0	0.198748500880882	0	0	0	0	0	0
"Solyc00g091170.2"	0.284997510764479	0	0	0	0	0	0	0	0	0
"Solyc00g092900.1"	0	0.278200211277516	0	0	0	0	0	0	0	0
"Solyc00g093000.1"	0.673026020994006	1.0363647903544	0.522807552272921	0.832721286074173	1.01938043040226	0.54728949613226	0.659584477855108	0.721529640488759	0.403158760520572	0.258999022496285
"Solyc00g094550.1"	0	0	0	0	0	0	0	0	0.608573690963013	0
"Solyc00g096460.1"	0.284997510764479	0	0	0	0	0	0	0	0	0
"Solyc00g102000.1"	0.284997510764479	0.739406391237923	0.33573733910721	0.43790869009435	0.289061541442611	0.864222992607854	1.58487784423651	0.801625910074328	1.12194644026412	0.826630670124478
"Solyc00g104940.1"	0	0	0	0	0.289061541442611	0	0	0	0	0
"Solyc00g106650.1"	0.970701271541457	1.16027963536262	1.17599633245211	1.12014550356756	1.1236316616183	0.781907295243113	0.444553051114546	0.623243467210679	0.403158760520572	0.705654882895141
"Solyc00g112930.2"	0	0	0	0.198748500880882	0	0	0	0	0	0
"Solyc00g125580.1"	0.455610330853233	0	0.522807552272921	0	0.289061541442611	0.354690153939281	0	0.315266490047392	0	0
