"C1.sm.bam"	"C2.sm.bam"	"C3.sm.bam"	"C4.sm.bam"	"C5.sm.bam"	"T1.sm.bam"	"T2.sm.bam"	"T3.sm.bam"	"T4.sm.bam"	"T5.sm.bam"
"Solyc00g075450.2"	0	1	0	0	0	0	0	1	0	0
"Solyc00g082150.2"	95	86	46	120	97	62	12	48	20	43
"Solyc00g084760.1"	0	0	0	0	1	0	0	0	0	0
"Solyc00g085070.2"	10494	12414	9086	14413	11656	7796	1887	6464	2979	7831
"Solyc00g090870.2"	0	0	0	1	0	0	0	0	0	0
"Solyc00g091170.2"	1	0	0	0	0	0	0	0	0	0
"Solyc00g092900.1"	0	1	0	0	0	0	0	0	0	0
"Solyc00g093000.1"	4	11	2	10	10	2	2	4	1	1
"Solyc00g094550.1"	0	0	0	0	0	0	0	0	2	0
"Solyc00g096460.1"	1	0	0	0	0	0	0	0	0	0
"Solyc00g102000.1"	1	5	1	3	1	5	21	5	8	7
"Solyc00g104940.1"	0	0	0	0	1	0	0	0	0	0
"Solyc00g106650.1"	9	15	12	21	13	4	1	3	1	5
"Solyc00g112930.2"	0	0	0	1	0	0	0	0	0	0
"Solyc00g125580.1"	2	0	2	0	1	1	0	1	0	0
"Solyc00g125980.1"	1	0	0	0	0	0	0	0	0	0
"Solyc00g127660.2"	208	186	97	193	163	146	43	123	84	157
"Solyc00g127670.1"	0	2	1	0	0	1	0	0	0	1
"Solyc00g127870.2"	694	571	442	680	450	536	85	584	419	848
"Solyc00g128870.2"	0	1	0	0	0	0	0	1	3	0
"Solyc00g135260.1"	0	1	0	0	0	0	0	0	0	0
"Solyc00g140060.2"	7	21	10	21	23	2	0	7	0	7
"Solyc00g143770.1"	1	0	0	0	0	2	0	0	0	0
"Solyc00g145170.1"	1	1	1	1	0	0	0	0	0	0
"Solyc00g153680.1"	0	0	0	0	1	0	0	0	0	0
"Solyc00g154480.1"	0	1	0	0	0	0	0	0	0	0
"Solyc00g157080.1"	606	1395	812	1791	1024	407	271	526	176	652
"Solyc00g157180.2"	0	1	0	0	1	0	0	0	0	0
"Solyc00g164680.1"	1	2	1	3	0	0	1	0	0	1
"Solyc00g170210.2"	2	2	1	4	0	6	0	2	0	0
"Solyc00g171710.1"	272	384	287	398	272	199	63	195	131	292
"Solyc00g171810.2"	1	0	0	0	0	1	1	0	0	1
"Solyc00g174330.2"	3	5	6	9	9	4	5	5	5	7
"Solyc00g175240.1"	2	0	0	1	0	0	0	0	0	0
"Solyc00g179240.1"	0	0	1	4	0	0	0	0	0	1
"Solyc00g179640.1"	0	0	0	0	0	0	0	0	0	1
"Solyc00g180840.1"	1	1	4	3	2	0	0	0	1	3
"Solyc00g186050.1"	11	11	4	19	12	5	2	9	1	2
"Solyc00g201160.2"	2	0	1	0	0	0	0	0	0	0
"Solyc00g209560.1"	0	0	0	0	0	0	0	0	1	0
"Solyc00g215560.1"	1	3	2	3	5	3	0	0	0	0
"Solyc00g217960.1"	0	2	1	1	1	0	0	1	3	1
"Solyc00g218560.1"	0	0	0	0	0	0	0	0	1	0
"Solyc00g227860.1"	0	0	0	0	0	1	0	0	0	0
"Solyc00g230080.1"	0	1	0	1	0	0	0	0	0	2
